b1*,b2*,Periods,w_P1,w_P2,w_P3,Val F1,Test F1
2004,2009,1999-2003 | 2004-2008 | 2009-2011,0.0,0.0,1.0,0.3846,0.2171
2006,2009,1999-2005 | 2006-2008 | 2009-2011,0.0,0.3,0.7,0.3827,0.2368
2002,2007,1999-2001 | 2002-2006 | 2007-2011,0.0,0.0,1.0,0.3774,0.2581
2004,2008,1999-2003 | 2004-2007 | 2008-2011,0.0,0.2,0.8,0.3751,0.2322
2005,2009,1999-2004 | 2005-2008 | 2009-2011,0.0,0.0,1.0,0.3748,0.2209
