b1*,b2*,Periods,w_P1,w_P2,w_P3,Val F1,Val AUC,Test F1,Test AUC
2004,2009,1999-2003 | 2004-2008 | 2009-2011,0.00,0.00,1.00,0.3846,0.8302,0.2171,0.8105
2006,2009,1999-2005 | 2006-2008 | 2009-2011,0.00,0.30,0.70,0.3827,0.8312,0.2368,0.8145
2002,2007,1999-2001 | 2002-2006 | 2007-2011,0.00,0.00,1.00,0.3774,0.8313,0.2581,0.8145
2004,2008,1999-2003 | 2004-2007 | 2008-2011,0.00,0.20,0.80,0.3751,0.8334,0.2322,0.8211
2005,2009,1999-2004 | 2005-2008 | 2009-2011,0.00,0.00,1.00,0.3748,0.8330,0.2209,0.8125
