,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
ensemble_old_3,0.8086293214507206,0.1327088212334114,0.6988460776231505,0.5923344947735192,0.07472527472527472,0.17548978741142143,0.4076655052264808
ensemble_new_3,0.8693349290427341,0.2393574297188755,0.6958080792667377,0.519163763066202,0.15553235908141963,0.06744476865360567,0.4808362369337979
ensemble_all_6,0.8574914344391463,0.21600520494469747,0.7253460450299981,0.578397212543554,0.1328,0.09037098791162984,0.42160278745644597
ensemble_2_old_hybrid_new_hybrid,0.8372666892273639,0.184140500266099,0.7290254642334935,0.6027874564459931,0.10866834170854271,0.11829929137140476,0.397212543554007
ensemble_3_type_a,0.8489640718475904,0.18514531754574812,0.7276024013925878,0.5993031358885017,0.109484404837683,0.11663192997082117,0.40069686411149824
ensemble_3_type_b,0.8384007273646248,0.19327731092436976,0.7099386247296241,0.5609756097560976,0.116751269035533,0.10154230929553981,0.43902439024390244
ensemble_4,0.8491502702200249,0.1950632149307646,0.7123382013445172,0.5644599303135889,0.11790393013100436,0.10104210087536473,0.4355400696864111
ensemble_5,0.8401912527432306,0.1889763779527559,0.7216663819521052,0.5853658536585366,0.11267605633802817,0.11029595664860359,0.4146341463414634
