split,method,sampling,tune_val_auc,tune_best_params
split_3+13,Old,oversampling,0.704896,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.1, ""max_depth"": -1, ""min_child_samples"": 20, ""n_estimators"": 800, ""num_leaves"": 150, ""reg_alpha"": 0.0, ""reg_lambda"": 0.1, ""subsample"": 0.7}"
split_3+13,Old,hybrid,0.732338,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.1, ""max_depth"": -1, ""min_child_samples"": 50, ""n_estimators"": 800, ""num_leaves"": 150, ""reg_alpha"": 0.0, ""reg_lambda"": 0.1, ""subsample"": 1.0}"
split_3+13,New,none,0.877067,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 20, ""n_estimators"": 1000, ""num_leaves"": 150, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 0.85}"
split_3+13,New,undersampling,0.881397,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 20, ""n_estimators"": 1000, ""num_leaves"": 150, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.85}"
split_3+13,New,oversampling,0.836944,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.2, ""max_depth"": -1, ""min_child_samples"": 50, ""n_estimators"": 800, ""num_leaves"": 100, ""reg_alpha"": 0.0, ""reg_lambda"": 3.0, ""subsample"": 0.7}"
split_3+13,New,hybrid,0.853154,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.2, ""max_depth"": -1, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 150, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.7}"
split_4+12,Old,none,0.782369,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": -1, ""min_child_samples"": 100, ""n_estimators"": 500, ""num_leaves"": 150, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}"
split_4+12,Old,undersampling,0.782942,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": -1, ""min_child_samples"": 100, ""n_estimators"": 500, ""num_leaves"": 100, ""reg_alpha"": 0.0, ""reg_lambda"": 3.0, ""subsample"": 0.85}"
split_4+12,Old,oversampling,0.738239,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 20, ""n_estimators"": 800, ""num_leaves"": 100, ""reg_alpha"": 1.0, ""reg_lambda"": 0.0, ""subsample"": 0.7}"
split_4+12,Old,hybrid,0.753762,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.1, ""max_depth"": -1, ""min_child_samples"": 50, ""n_estimators"": 800, ""num_leaves"": 100, ""reg_alpha"": 0.0, ""reg_lambda"": 0.1, ""subsample"": 1.0}"
split_4+12,New,none,0.868202,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": -1, ""min_child_samples"": 50, ""n_estimators"": 500, ""num_leaves"": 150, ""reg_alpha"": 0.0, ""reg_lambda"": 0.1, ""subsample"": 1.0}"
split_4+12,New,undersampling,0.879883,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 15, ""min_child_samples"": 20, ""n_estimators"": 1000, ""num_leaves"": 150, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 0.85}"
split_4+12,New,oversampling,0.835913,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.1, ""max_depth"": 15, ""min_child_samples"": 20, ""n_estimators"": 1000, ""num_leaves"": 100, ""reg_alpha"": 0.1, ""reg_lambda"": 0.0, ""subsample"": 0.85}"
split_4+12,New,hybrid,0.850246,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.2, ""max_depth"": -1, ""min_child_samples"": 100, ""n_estimators"": 1000, ""num_leaves"": 150, ""reg_alpha"": 0.0, ""reg_lambda"": 3.0, ""subsample"": 0.7}"
split_5+11,Old,none,0.802867,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.1, ""max_depth"": 15, ""min_child_samples"": 20, ""n_estimators"": 800, ""num_leaves"": 150, ""reg_alpha"": 1.0, ""reg_lambda"": 0.0, ""subsample"": 0.85}"
split_5+11,Old,undersampling,0.797559,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.2, ""max_depth"": 15, ""min_child_samples"": 20, ""n_estimators"": 1000, ""num_leaves"": 150, ""reg_alpha"": 0.0, ""reg_lambda"": 0.1, ""subsample"": 0.7}"
split_5+11,Old,oversampling,0.766912,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.05, ""max_depth"": 15, ""min_child_samples"": 20, ""n_estimators"": 1000, ""num_leaves"": 100, ""reg_alpha"": 1.0, ""reg_lambda"": 3.0, ""subsample"": 0.7}"
split_5+11,Old,hybrid,0.785539,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.2, ""max_depth"": 15, ""min_child_samples"": 100, ""n_estimators"": 500, ""num_leaves"": 150, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""subsample"": 1.0}"
split_5+11,New,none,0.875882,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.03, ""max_depth"": -1, ""min_child_samples"": 50, ""n_estimators"": 800, ""num_leaves"": 100, ""reg_alpha"": 1.0, ""reg_lambda"": 3.0, ""subsample"": 0.7}"
split_5+11,New,undersampling,0.879273,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.1, ""max_depth"": 15, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 100, ""reg_alpha"": 1.0, ""reg_lambda"": 0.0, ""subsample"": 0.7}"
split_5+11,New,oversampling,0.842383,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.2, ""max_depth"": -1, ""min_child_samples"": 100, ""n_estimators"": 800, ""num_leaves"": 150, ""reg_alpha"": 0.1, ""reg_lambda"": 0.0, ""subsample"": 1.0}"
