new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.5296,0.5923,0.4983,0.4495,0.5174
14yr,0.5017,0.5331,0.5575,0.4634,0.5139
13yr,0.5052,0.4425,0.4878,0.4390,0.4686
12yr,0.4530,0.4669,0.4704,0.4042,0.4486
11yr,0.4948,0.4390,0.5470,0.4460,0.4817
10yr,0.5157,0.4599,0.4216,0.4460,0.4608
9yr,0.4739,0.4704,0.6202,0.3937,0.4895
8yr,0.3868,0.4774,0.5540,0.4669,0.4713
7yr,0.5575,0.5052,0.6028,0.4495,0.5287
6yr,0.4704,0.5540,0.5575,0.5470,0.5322
5yr,0.5505,0.4704,0.6446,0.5749,0.5601
4yr,0.5017,0.5296,0.6341,0.4425,0.5270
3yr,0.5261,0.5366,0.5017,0.5645,0.5322
2yr,0.5923,0.7073,0.7073,0.5575,0.6411
1yr,0.7108,0.6341,0.8084,0.5784,0.6829
avg,0.5180,0.5213,0.5742,0.4815,0.5238
