new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.2609,0.2816,0.1967,0.1930,0.2331
14yr,0.2373,0.2656,0.2009,0.1969,0.2252
13yr,0.2989,0.2834,0.1997,0.2333,0.2539
12yr,0.2606,0.2917,0.2173,0.2209,0.2476
11yr,0.3059,0.2830,0.2529,0.2581,0.2750
10yr,0.3229,0.2884,0.1874,0.2347,0.2583
9yr,0.3322,0.3055,0.2430,0.2151,0.2740
8yr,0.2596,0.3178,0.2368,0.2578,0.2680
7yr,0.3211,0.3264,0.2579,0.2360,0.2854
6yr,0.3068,0.3556,0.2389,0.2802,0.2954
5yr,0.3608,0.3167,0.2636,0.2748,0.3040
4yr,0.2719,0.3013,0.2273,0.2339,0.2586
3yr,0.2819,0.3107,0.1893,0.2415,0.2559
2yr,0.2966,0.2577,0.2249,0.2401,0.2548
1yr,0.2474,0.2881,0.1947,0.2077,0.2345
avg,0.2910,0.2982,0.2221,0.2349,0.2616
