new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.1805,0.2151,0.1223,0.1170,0.1587
14yr,0.1558,0.1856,0.1300,0.1206,0.1480
13yr,0.2142,0.1900,0.1241,0.1473,0.1689
12yr,0.1710,0.2008,0.1367,0.1356,0.1610
11yr,0.2194,0.1892,0.1754,0.1683,0.1881
10yr,0.2422,0.1967,0.1118,0.1489,0.1749
9yr,0.2428,0.2147,0.1787,0.1307,0.1917
8yr,0.1646,0.2283,0.1612,0.1700,0.1810
7yr,0.2520,0.2436,0.1910,0.1502,0.2092
6yr,0.2159,0.2956,0.1637,0.2028,0.2195
5yr,0.3014,0.2259,0.2094,0.2030,0.2349
4yr,0.1869,0.2217,0.1648,0.1480,0.1804
3yr,0.2006,0.2337,0.1168,0.1671,0.1796
2yr,0.2331,0.2301,0.1826,0.1647,0.2026
1yr,0.2161,0.2376,0.1978,0.1378,0.1973
avg,0.2131,0.2206,0.1578,0.1541,0.1864
