new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.0511,0.0356,0.0861,0.0994,0.0680
14yr,0.0646,0.0490,0.0709,0.0936,0.0695
13yr,0.0434,0.0569,0.0865,0.0777,0.0661
12yr,0.0634,0.0508,0.0800,0.0909,0.0713
11yr,0.0430,0.0575,0.0509,0.0655,0.0543
10yr,0.0363,0.0528,0.1100,0.0758,0.0687
9yr,0.0393,0.0464,0.0418,0.0965,0.0560
8yr,0.0744,0.0423,0.0555,0.0623,0.0586
7yr,0.0314,0.0368,0.0403,0.0745,0.0457
6yr,0.0460,0.0254,0.0541,0.0426,0.0420
5yr,0.0249,0.0434,0.0321,0.0399,0.0351
4yr,0.0519,0.0395,0.0444,0.0768,0.0531
3yr,0.0452,0.0363,0.0901,0.0519,0.0559
2yr,0.0321,0.0234,0.0313,0.0537,0.0351
1yr,0.0251,0.0281,0.0186,0.0631,0.0337
avg,0.0448,0.0416,0.0595,0.0709,0.0542
