new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.4704,0.4077,0.5017,0.5505,0.4826
14yr,0.4983,0.4669,0.4425,0.5366,0.4861
13yr,0.4948,0.5575,0.5122,0.5610,0.5314
12yr,0.5470,0.5331,0.5296,0.5958,0.5514
11yr,0.5052,0.5610,0.4530,0.5540,0.5183
10yr,0.4843,0.5401,0.5784,0.5540,0.5392
9yr,0.5261,0.5296,0.3798,0.6063,0.5105
8yr,0.6132,0.5226,0.4460,0.5331,0.5287
7yr,0.4425,0.4948,0.3972,0.5505,0.4713
6yr,0.5296,0.4460,0.4425,0.4530,0.4678
5yr,0.4495,0.5296,0.3554,0.4251,0.4399
4yr,0.4983,0.4704,0.3659,0.5575,0.4730
3yr,0.4739,0.4634,0.4983,0.4355,0.4678
2yr,0.4077,0.2927,0.2927,0.4425,0.3589
1yr,0.2892,0.3659,0.1916,0.4216,0.3171
avg,0.4820,0.4787,0.4258,0.5185,0.4762
