old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.5854,0.5645,0.7456,0.7770,0.6681
2yr,0.6167,0.8920,0.6655,0.5645,0.6847
3yr,0.8084,0.5819,0.8188,0.7038,0.7282
4yr,0.8049,0.7213,0.7038,0.7108,0.7352
5yr,0.7700,0.8920,0.6864,0.7666,0.7787
6yr,0.7735,0.7770,0.6551,0.6655,0.7178
7yr,0.7213,0.7352,0.7108,0.7213,0.7221
8yr,0.7700,0.7247,0.7178,0.6829,0.7239
9yr,0.7143,0.6620,0.6969,0.6132,0.6716
10yr,0.6237,0.6481,0.5645,0.5958,0.6080
11yr,0.6202,0.6132,0.6585,0.5505,0.6106
12yr,0.6934,0.6411,0.5714,0.4878,0.5984
13yr,0.6028,0.5958,0.5923,0.5540,0.5862
14yr,0.5540,0.6446,0.5889,0.4460,0.5584
15yr,0.5784,0.4913,0.5645,0.4843,0.5296
avg,0.6825,0.6790,0.6627,0.6216,0.6614
