old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.0308,0.0306,0.0379,0.0385,0.0344
2yr,0.0392,0.0411,0.0350,0.0396,0.0387
3yr,0.0432,0.0421,0.0411,0.0432,0.0424
4yr,0.0507,0.0461,0.0397,0.0438,0.0451
5yr,0.0566,0.0609,0.0421,0.0503,0.0525
6yr,0.0632,0.0763,0.0409,0.0458,0.0565
7yr,0.0660,0.0676,0.0511,0.0520,0.0592
8yr,0.0803,0.0784,0.0541,0.0610,0.0684
9yr,0.0849,0.0761,0.0578,0.0701,0.0722
10yr,0.1071,0.1136,0.0709,0.0833,0.0938
11yr,0.1061,0.1102,0.0740,0.0946,0.0962
12yr,0.1536,0.1305,0.0846,0.0872,0.1140
13yr,0.1414,0.1290,0.0872,0.1077,0.1163
14yr,0.1234,0.1601,0.1075,0.0930,0.1210
15yr,0.1565,0.1370,0.1055,0.1036,0.1256
avg,0.0869,0.0866,0.0620,0.0676,0.0758
