metric,method,hybrid,none,oversampling,undersampling
AUC,Old,0.7291,0.7293,0.6988,0.7275
AUC,New,0.8616,0.8743,0.8463,0.8757
AUC,Retrain,0.8445,0.8538,0.8179,0.8563
F1,Old,0.1141,0.1329,0.1038,0.1323
F1,New,0.2349,0.2910,0.2221,0.2982
F1,Retrain,0.1880,0.2398,0.2039,0.2510
G_Mean,Old,0.5675,0.5280,0.5375,0.5253
G_Mean,New,0.6924,0.6763,0.6272,0.6749
G_Mean,Retrain,0.6562,0.6231,0.6417,0.6577
Recall,Old,0.3784,0.3175,0.3373,0.3210
Recall,New,0.5185,0.4820,0.4258,0.4787
Recall,Retrain,0.4704,0.4077,0.4425,0.4564
Precision,Old,0.0676,0.0869,0.0620,0.0866
Precision,New,0.1541,0.2131,0.1578,0.2206
Precision,Retrain,0.1175,0.1698,0.1324,0.1731
