split,hybrid,none,oversampling,undersampling
split_1+7,0.430088,0.508537,0.480849,0.501615
split_2+6,0.528842,0.519612,0.468851,0.552838
split_3+5,0.414398,0.510383,0.385787,0.441163
split_4+4,0.401938,0.515459,0.413013,0.328103
split_5+3,0.415321,0.342409,0.311029,0.416705
split_6+2,0.467005,0.392247,0.359483,0.428703
split_7+1,0.602677,0.546377,0.714813,0.37748
