split,hybrid,none,oversampling,undersampling
split_1+7,0.228857,0.289069,0.292643,0.28313
split_2+6,0.32525,0.30232,0.273342,0.334598
split_3+5,0.207962,0.295942,0.205103,0.229682
split_4+4,0.202958,0.30342,0.226163,0.136479
split_5+3,0.2194,0.149621,0.150555,0.205598
split_6+2,0.26141,0.191246,0.177939,0.219619
split_7+1,0.394314,0.32569,0.534367,0.189211
