split,hybrid,none,oversampling,undersampling
split_1+7,0.575898,0.601278,0.583208,0.599661
split_2+6,0.597357,0.602099,0.58369,0.606514
split_3+5,0.572904,0.599449,0.55377,0.582954
split_4+4,0.566005,0.599215,0.565336,0.532282
split_5+3,0.569385,0.539609,0.514006,0.575353
split_6+2,0.587303,0.563233,0.543615,0.578404
split_7+1,0.604179,0.606982,0.576923,0.553224
