split,hybrid,none,oversampling,undersampling
split_1+7,0.579943,0.564272,0.575349,0.585071
split_2+6,0.586002,0.586676,0.562624,0.585273
split_3+5,0.596265,0.589992,0.540053,0.591475
split_4+4,0.572923,0.561802,0.550373,0.578377
split_5+3,0.586992,0.595159,0.566602,0.598595
split_6+2,0.58855,0.593645,0.56177,0.602719
split_7+1,0.587753,0.603772,0.548025,0.602641
