split,hybrid,none,oversampling,undersampling
split_1+7,0.613857,0.600878,0.608557,0.615529
split_2+6,0.623806,0.629842,0.617588,0.629257
split_3+5,0.634144,0.63842,0.623126,0.634513
split_4+4,0.634896,0.635268,0.62423,0.635452
split_5+3,0.639086,0.648597,0.632559,0.645757
split_6+2,0.643625,0.645865,0.634362,0.651929
split_7+1,0.643759,0.652387,0.634636,0.654056
