split,hybrid,none,oversampling,undersampling
split_1+7,0.615598,0.470235,0.642824,0.557914
split_2+6,0.59437,0.594832,0.439778,0.563452
split_3+5,0.553761,0.524689,0.378403,0.574988
split_4+4,0.454084,0.425934,0.402861,0.47808
split_5+3,0.49054,0.510844,0.436548,0.562529
split_6+2,0.494232,0.50946,0.419474,0.559299
split_7+1,0.479465,0.535764,0.383018,0.531611
