split,hybrid,none,oversampling,undersampling
split_1+7,0.18296,0.173298,0.163734,0.17431
split_2+6,0.1623,0.169988,0.169701,0.164493
split_3+5,0.19188,0.170469,0.183092,0.186246
split_4+4,0.190925,0.16835,0.178714,0.222675
split_5+3,0.184049,0.214265,0.197538,0.194528
split_6+2,0.175512,0.196396,0.194022,0.188706
split_7+1,0.154064,0.166596,0.137481,0.192064
