split,hybrid,none,oversampling,undersampling
split_1+7,0.384402,0.529765,0.357176,0.442086
split_2+6,0.40563,0.405168,0.560222,0.436548
split_3+5,0.446239,0.475311,0.621597,0.425012
split_4+4,0.545916,0.574066,0.597139,0.52192
split_5+3,0.50946,0.489156,0.563452,0.437471
split_6+2,0.505768,0.49054,0.580526,0.440701
split_7+1,0.520535,0.464236,0.616982,0.468389
