split,hybrid,none,oversampling,undersampling
split_1+7,0.453646,0.322886,0.485043,0.386451
split_2+6,0.422248,0.421368,0.280216,0.39206
split_3+5,0.357968,0.336578,0.229242,0.391565
split_4+4,0.277136,0.25899,0.248103,0.300286
split_5+3,0.297592,0.306609,0.264599,0.363027
split_6+2,0.299131,0.308259,0.247663,0.350489
split_7+1,0.279501,0.319586,0.21588,0.316837
