split,hybrid,none,oversampling,undersampling
split_1+7,0.256714,0.258503,0.244286,0.258717
split_2+6,0.248375,0.256171,0.249203,0.253545
split_3+5,0.262305,0.255575,0.248329,0.261918
split_4+4,0.258879,0.253806,0.249477,0.265299
split_5+3,0.255066,0.263588,0.24162,0.265237
split_6+2,0.255137,0.26174,0.252022,0.262059
split_7+1,0.245396,0.255338,0.230609,0.254591
