split,hybrid,none,oversampling,undersampling
split_1+7,0.13919,0.147874,0.136381,0.146777
split_2+6,0.143638,0.14399,0.157547,0.14621
split_3+5,0.155642,0.156655,0.164362,0.148918
split_4+4,0.163347,0.163856,0.162117,0.159458
split_5+3,0.16417,0.165644,0.164293,0.155862
split_6+2,0.164491,0.164531,0.167929,0.159768
split_7+1,0.169716,0.166499,0.174516,0.166618
