split,hybrid,none,oversampling,undersampling
split_1+7,0.646423,0.655594,0.63793,0.659378
split_2+6,0.648471,0.65978,0.640885,0.661233
split_3+5,0.649433,0.657822,0.642306,0.661981
split_4+4,0.648559,0.660517,0.637697,0.659134
split_5+3,0.649138,0.658899,0.63546,0.660429
split_6+2,0.645332,0.65853,0.639178,0.659197
split_7+1,0.645022,0.652001,0.635323,0.652356
