split,hybrid,none,oversampling,undersampling
split_1+7,0.569912,0.491463,0.519151,0.498385
split_2+6,0.471158,0.480388,0.531149,0.447162
split_3+5,0.585602,0.489617,0.614213,0.558837
split_4+4,0.598062,0.484541,0.586987,0.671897
split_5+3,0.584679,0.657591,0.688971,0.583295
split_6+2,0.532995,0.607753,0.640517,0.571297
split_7+1,0.397323,0.453623,0.285187,0.62252
