old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.2282,0.2284,0.2262,0.2277,0.2276
2yr,0.2399,0.2419,0.2363,0.2294,0.2369
3yr,0.2446,0.2360,0.2298,0.2303,0.2352
4yr,0.2337,0.2362,0.2319,0.2388,0.2352
5yr,0.2448,0.2354,0.2295,0.2464,0.2391
6yr,0.2361,0.2422,0.2382,0.2460,0.2406
7yr,0.2333,0.2403,0.2516,0.2397,0.2412
avg,0.2372,0.2372,0.2348,0.2369,0.2365
