new_years,none,undersampling,oversampling,hybrid,avg
7yr,0.5884,0.5832,0.5950,0.5804,0.5867
6yr,0.5753,0.5364,0.5873,0.5896,0.5721
5yr,0.5573,0.5759,0.5723,0.5474,0.5632
4yr,0.5745,0.5351,0.5883,0.5536,0.5629
3yr,0.5044,0.5326,0.5524,0.5718,0.5403
2yr,0.4870,0.5188,0.5514,0.4971,0.5136
1yr,0.4504,0.5481,0.5472,0.5771,0.5307
avg,0.5339,0.5472,0.5706,0.5596,0.5528
