split,old_end_year,new_start_year,train_scope,fs_method,fs_ratio,n_features_before,n_features_after,selected_features
split_2+14,2000,2001,old,mutual_info,0.5,19,9,MajorGroup;X14;X17;X10;X11;X9;X5;X15;X16
split_2+14,2000,2001,old,mutual_info,0.8,19,15,MajorGroup;X14;X17;X10;X11;X9;X5;X15;X16;X18;X12;X4;X8;X13;X7
split_2+14,2000,2001,old,shap,0.5,19,9,MajorGroup;X5;X16;X15;X10;X12;X2;X14;X13
split_2+14,2000,2001,old,shap,0.8,19,15,MajorGroup;X5;X16;X15;X10;X12;X2;X14;X13;X6;X9;X11;X3;X8;X18
split_2+14,2000,2001,old,rfe,0.5,19,9,X1;X6;X9;X10;X11;X14;X15;X16;MajorGroup
split_2+14,2000,2001,old,rfe,0.8,19,15,X1;X2;X4;X5;X6;X7;X8;X9;X10;X11;X14;X15;X16;X18;MajorGroup
split_2+14,2000,2001,new,mutual_info,0.5,19,9,MajorGroup;X11;X12;X4;X7;X6;X15;X8;X18
split_2+14,2000,2001,new,mutual_info,0.8,19,15,MajorGroup;X11;X12;X4;X7;X6;X15;X8;X18;X14;X17;X10;X2;X16;X1
split_2+14,2000,2001,new,shap,0.5,19,9,MajorGroup;X11;X12;X15;X1;X4;X10;X9;X16
split_2+14,2000,2001,new,shap,0.8,19,15,MajorGroup;X11;X12;X15;X1;X4;X10;X9;X16;X13;X14;X3;X18;X2;X8
split_2+14,2000,2001,new,rfe,0.5,19,9,X1;X3;X4;X8;X10;X11;X12;X15;MajorGroup
split_2+14,2000,2001,new,rfe,0.8,19,15,X1;X3;X4;X5;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;MajorGroup
split_2+14,2000,2001,old_new,mutual_info,0.5,19,9,MajorGroup;X11;X4;X12;X6;X15;X8;X16;X7
split_2+14,2000,2001,old_new,mutual_info,0.8,19,15,MajorGroup;X11;X4;X12;X6;X15;X8;X16;X7;X18;X10;X17;X2;X5;X14
split_2+14,2000,2001,old_new,shap,0.5,19,9,MajorGroup;X11;X12;X15;X4;X1;X10;X13;X16
split_2+14,2000,2001,old_new,shap,0.8,19,15,MajorGroup;X11;X12;X15;X4;X1;X10;X13;X16;X9;X18;X14;X3;X8;X5
split_2+14,2000,2001,old_new,rfe,0.5,19,9,X1;X3;X8;X11;X12;X15;X16;X18;MajorGroup
split_2+14,2000,2001,old_new,rfe,0.8,19,15,X1;X3;X4;X5;X7;X8;X9;X10;X11;X12;X13;X15;X16;X18;MajorGroup
split_3+13,2001,2002,old,mutual_info,0.5,19,9,MajorGroup;X17;X14;X9;X10;X5;X3;X8;X16
split_3+13,2001,2002,old,mutual_info,0.8,19,15,MajorGroup;X17;X14;X9;X10;X5;X3;X8;X16;X15;X11;X6;X1;X18;X4
split_3+13,2001,2002,old,shap,0.5,19,9,MajorGroup;X12;X5;X10;X1;X13;X4;X9;X15
split_3+13,2001,2002,old,shap,0.8,19,15,MajorGroup;X12;X5;X10;X1;X13;X4;X9;X15;X11;X16;X6;X8;X7;X18
split_3+13,2001,2002,old,rfe,0.5,19,9,X4;X5;X8;X11;X12;X15;X17;X18;MajorGroup
split_3+13,2001,2002,old,rfe,0.8,19,15,X1;X2;X4;X5;X6;X8;X9;X10;X11;X12;X15;X16;X17;X18;MajorGroup
split_3+13,2001,2002,new,mutual_info,0.5,19,9,MajorGroup;X11;X12;X4;X7;X6;X8;X15;X18
split_3+13,2001,2002,new,mutual_info,0.8,19,15,MajorGroup;X11;X12;X4;X7;X6;X8;X15;X18;X17;X14;X5;X10;X2;X16
split_3+13,2001,2002,new,shap,0.5,19,9,MajorGroup;X11;X12;X15;X4;X1;X16;X10;X13
split_3+13,2001,2002,new,shap,0.8,19,15,MajorGroup;X11;X12;X15;X4;X1;X16;X10;X13;X9;X14;X3;X2;X18;X8
split_3+13,2001,2002,new,rfe,0.5,19,9,X1;X5;X8;X10;X11;X12;X15;X18;MajorGroup
split_3+13,2001,2002,new,rfe,0.8,19,15,X1;X2;X4;X5;X8;X9;X10;X11;X12;X13;X14;X15;X16;X18;MajorGroup
split_3+13,2001,2002,old_new,mutual_info,0.5,19,9,MajorGroup;X11;X4;X12;X6;X15;X8;X16;X18
split_3+13,2001,2002,old_new,mutual_info,0.8,19,15,MajorGroup;X11;X4;X12;X6;X15;X8;X16;X18;X2;X7;X17;X10;X5;X14
split_3+13,2001,2002,old_new,shap,0.5,19,9,MajorGroup;X11;X12;X15;X4;X1;X10;X13;X16
split_3+13,2001,2002,old_new,shap,0.8,19,15,MajorGroup;X11;X12;X15;X4;X1;X10;X13;X16;X9;X18;X14;X3;X8;X5
split_3+13,2001,2002,old_new,rfe,0.5,19,9,X1;X3;X8;X11;X12;X15;X16;X18;MajorGroup
split_3+13,2001,2002,old_new,rfe,0.8,19,15,X1;X3;X4;X5;X7;X8;X9;X10;X11;X12;X13;X15;X16;X18;MajorGroup
split_4+12,2002,2003,old,mutual_info,0.5,19,9,MajorGroup;X4;X9;X16;X8;X3;X13;X11;X15
split_4+12,2002,2003,old,mutual_info,0.8,19,15,MajorGroup;X4;X9;X16;X8;X3;X13;X11;X15;X12;X17;X14;X5;X18;X2
split_4+12,2002,2003,old,shap,0.5,19,9,MajorGroup;X5;X12;X15;X10;X11;X1;X4;X6
split_4+12,2002,2003,old,shap,0.8,19,15,MajorGroup;X5;X12;X15;X10;X11;X1;X4;X6;X14;X13;X18;X8;X9;X16
split_4+12,2002,2003,old,rfe,0.5,19,9,X1;X3;X5;X9;X11;X12;X15;X16;MajorGroup
split_4+12,2002,2003,old,rfe,0.8,19,15,X1;X3;X4;X5;X7;X8;X9;X11;X12;X13;X15;X16;X17;X18;MajorGroup
split_4+12,2002,2003,new,mutual_info,0.5,19,9,MajorGroup;X11;X12;X4;X7;X6;X15;X5;X18
split_4+12,2002,2003,new,mutual_info,0.8,19,15,MajorGroup;X11;X12;X4;X7;X6;X15;X5;X18;X2;X8;X17;X14;X16;X10
split_4+12,2002,2003,new,shap,0.5,19,9,MajorGroup;X11;X12;X15;X1;X4;X10;X13;X16
split_4+12,2002,2003,new,shap,0.8,19,15,MajorGroup;X11;X12;X15;X1;X4;X10;X13;X16;X3;X8;X9;X2;X14;X6
split_4+12,2002,2003,new,rfe,0.5,19,9,X1;X5;X8;X11;X12;X15;X16;X18;MajorGroup
split_4+12,2002,2003,new,rfe,0.8,19,15,X1;X3;X4;X5;X7;X8;X9;X10;X11;X12;X13;X15;X16;X18;MajorGroup
split_4+12,2002,2003,old_new,mutual_info,0.5,19,9,MajorGroup;X11;X4;X12;X6;X15;X8;X16;X18
split_4+12,2002,2003,old_new,mutual_info,0.8,19,15,MajorGroup;X11;X4;X12;X6;X15;X8;X16;X18;X7;X10;X2;X17;X14;X3
split_4+12,2002,2003,old_new,shap,0.5,19,9,MajorGroup;X11;X12;X15;X4;X1;X10;X13;X16
split_4+12,2002,2003,old_new,shap,0.8,19,15,MajorGroup;X11;X12;X15;X4;X1;X10;X13;X16;X9;X18;X14;X3;X8;X5
split_4+12,2002,2003,old_new,rfe,0.5,19,9,X1;X3;X8;X11;X12;X15;X16;X18;MajorGroup
split_4+12,2002,2003,old_new,rfe,0.8,19,15,X1;X3;X4;X5;X7;X8;X9;X10;X11;X12;X13;X15;X16;X18;MajorGroup
split_5+11,2003,2004,old,mutual_info,0.5,19,9,MajorGroup;X16;X4;X3;X12;X9;X13;X15;X10
split_5+11,2003,2004,old,mutual_info,0.8,19,15,MajorGroup;X16;X4;X3;X12;X9;X13;X15;X10;X8;X18;X14;X6;X17;X11
split_5+11,2003,2004,old,shap,0.5,19,9,MajorGroup;X12;X1;X10;X4;X11;X5;X15;X16
split_5+11,2003,2004,old,shap,0.8,19,15,MajorGroup;X12;X1;X10;X4;X11;X5;X15;X16;X13;X9;X6;X8;X7;X14
split_5+11,2003,2004,old,rfe,0.5,19,9,X1;X2;X5;X11;X12;X15;X16;X18;MajorGroup
split_5+11,2003,2004,old,rfe,0.8,19,15,X1;X2;X4;X5;X6;X9;X10;X11;X12;X13;X15;X16;X17;X18;MajorGroup
split_5+11,2003,2004,new,mutual_info,0.5,19,9,MajorGroup;X11;X12;X4;X7;X6;X15;X2;X5
split_5+11,2003,2004,new,mutual_info,0.8,19,15,MajorGroup;X11;X12;X4;X7;X6;X15;X2;X5;X8;X17;X18;X14;X10;X16
split_5+11,2003,2004,new,shap,0.5,19,9,X11;MajorGroup;X12;X15;X4;X1;X10;X8;X13
split_5+11,2003,2004,new,shap,0.8,19,15,X11;MajorGroup;X12;X15;X4;X1;X10;X8;X13;X16;X3;X9;X6;X14;X2
split_5+11,2003,2004,new,rfe,0.5,19,9,X1;X2;X3;X4;X10;X11;X12;X15;MajorGroup
split_5+11,2003,2004,new,rfe,0.8,19,15,X1;X2;X3;X4;X5;X8;X9;X10;X11;X12;X13;X15;X16;X18;MajorGroup
split_5+11,2003,2004,old_new,mutual_info,0.5,19,9,MajorGroup;X11;X4;X12;X6;X15;X8;X16;X18
split_5+11,2003,2004,old_new,mutual_info,0.8,19,15,MajorGroup;X11;X4;X12;X6;X15;X8;X16;X18;X7;X2;X10;X17;X14;X5
split_5+11,2003,2004,old_new,shap,0.5,19,9,MajorGroup;X11;X12;X15;X4;X1;X10;X13;X16
split_5+11,2003,2004,old_new,shap,0.8,19,15,MajorGroup;X11;X12;X15;X4;X1;X10;X13;X16;X9;X18;X14;X3;X8;X5
split_5+11,2003,2004,old_new,rfe,0.5,19,9,X1;X3;X8;X11;X12;X15;X16;X18;MajorGroup
split_5+11,2003,2004,old_new,rfe,0.8,19,15,X1;X3;X4;X5;X7;X8;X9;X10;X11;X12;X13;X15;X16;X18;MajorGroup
split_6+10,2004,2005,old,mutual_info,0.5,19,9,MajorGroup;X4;X13;X9;X16;X18;X3;X7;X12
split_6+10,2004,2005,old,mutual_info,0.8,19,15,MajorGroup;X4;X13;X9;X16;X18;X3;X7;X12;X11;X15;X17;X8;X14;X10
split_6+10,2004,2005,old,shap,0.5,19,9,MajorGroup;X12;X11;X10;X4;X15;X1;X9;X5
split_6+10,2004,2005,old,shap,0.8,19,15,MajorGroup;X12;X11;X10;X4;X15;X1;X9;X5;X13;X16;X8;X6;X18;X14
split_6+10,2004,2005,old,rfe,0.5,19,9,X1;X4;X11;X12;X13;X15;X16;X18;MajorGroup
split_6+10,2004,2005,old,rfe,0.8,19,15,X1;X3;X4;X5;X7;X8;X9;X11;X12;X13;X15;X16;X17;X18;MajorGroup
split_6+10,2004,2005,new,mutual_info,0.5,19,9,MajorGroup;X11;X12;X4;X7;X6;X2;X5;X16
split_6+10,2004,2005,new,mutual_info,0.8,19,15,MajorGroup;X11;X12;X4;X7;X6;X2;X5;X16;X15;X18;X10;X8;X17;X3
split_6+10,2004,2005,new,shap,0.5,19,9,MajorGroup;X11;X12;X15;X1;X10;X4;X3;X16
split_6+10,2004,2005,new,shap,0.8,19,15,MajorGroup;X11;X12;X15;X1;X10;X4;X3;X16;X8;X6;X13;X9;X14;X2
split_6+10,2004,2005,new,rfe,0.5,19,9,X1;X5;X8;X11;X12;X15;X16;X18;MajorGroup
split_6+10,2004,2005,new,rfe,0.8,19,15,X1;X2;X3;X4;X5;X6;X8;X10;X11;X12;X14;X15;X16;X18;MajorGroup
split_6+10,2004,2005,old_new,mutual_info,0.5,19,9,MajorGroup;X11;X4;X12;X6;X8;X15;X7;X16
split_6+10,2004,2005,old_new,mutual_info,0.8,19,15,MajorGroup;X11;X4;X12;X6;X8;X15;X7;X16;X18;X2;X10;X17;X5;X14
split_6+10,2004,2005,old_new,shap,0.5,19,9,MajorGroup;X11;X12;X15;X4;X1;X10;X13;X16
split_6+10,2004,2005,old_new,shap,0.8,19,15,MajorGroup;X11;X12;X15;X4;X1;X10;X13;X16;X9;X18;X14;X3;X8;X5
split_6+10,2004,2005,old_new,rfe,0.5,19,9,X1;X3;X8;X11;X12;X15;X16;X18;MajorGroup
split_6+10,2004,2005,old_new,rfe,0.8,19,15,X1;X3;X4;X5;X7;X8;X9;X10;X11;X12;X13;X15;X16;X18;MajorGroup
split_7+9,2005,2006,old,mutual_info,0.5,19,9,MajorGroup;X4;X13;X3;X18;X7;X16;X14;X15
split_7+9,2005,2006,old,mutual_info,0.8,19,15,MajorGroup;X4;X13;X3;X18;X7;X16;X14;X15;X17;X6;X11;X2;X12;X8
split_7+9,2005,2006,old,shap,0.5,19,9,MajorGroup;X12;X11;X4;X1;X15;X9;X16;X5
split_7+9,2005,2006,old,shap,0.8,19,15,MajorGroup;X12;X11;X4;X1;X15;X9;X16;X5;X10;X13;X8;X18;X14;X7
split_7+9,2005,2006,old,rfe,0.5,19,9,X1;X4;X8;X9;X11;X12;X15;X16;MajorGroup
split_7+9,2005,2006,old,rfe,0.8,19,15,X1;X3;X4;X5;X7;X8;X9;X11;X12;X13;X14;X15;X16;X18;MajorGroup
split_7+9,2005,2006,new,mutual_info,0.5,19,9,MajorGroup;X12;X11;X4;X2;X7;X6;X5;X18
split_7+9,2005,2006,new,mutual_info,0.8,19,15,MajorGroup;X12;X11;X4;X2;X7;X6;X5;X18;X3;X15;X16;X8;X10;X1
split_7+9,2005,2006,new,shap,0.5,19,9,MajorGroup;X11;X12;X15;X10;X1;X4;X3;X16
split_7+9,2005,2006,new,shap,0.8,19,15,MajorGroup;X11;X12;X15;X10;X1;X4;X3;X16;X9;X13;X2;X14;X5;X7
split_7+9,2005,2006,new,rfe,0.5,19,9,X3;X5;X8;X10;X11;X12;X15;X16;MajorGroup
split_7+9,2005,2006,new,rfe,0.8,19,15,X1;X2;X3;X4;X5;X6;X8;X9;X10;X11;X12;X13;X15;X16;MajorGroup
split_7+9,2005,2006,old_new,mutual_info,0.5,19,9,MajorGroup;X11;X12;X6;X4;X15;X8;X16;X18
split_7+9,2005,2006,old_new,mutual_info,0.8,19,15,MajorGroup;X11;X12;X6;X4;X15;X8;X16;X18;X7;X2;X17;X10;X14;X3
split_7+9,2005,2006,old_new,shap,0.5,19,9,MajorGroup;X11;X12;X15;X4;X1;X10;X13;X16
split_7+9,2005,2006,old_new,shap,0.8,19,15,MajorGroup;X11;X12;X15;X4;X1;X10;X13;X16;X9;X18;X14;X3;X8;X5
split_7+9,2005,2006,old_new,rfe,0.5,19,9,X1;X3;X8;X11;X12;X15;X16;X18;MajorGroup
