train_scope,fs_method,fs_ratio,feature,selected_count,n_splits,selected_rate
old,mutual_info,0.500000,X10,4,15,0.266667
old,mutual_info,0.500000,X7,4,15,0.266667
old,mutual_info,0.500000,X5,3,15,0.200000
old,mutual_info,0.800000,MajorGroup,15,15,1.000000
old,mutual_info,0.800000,X11,15,15,1.000000
old,mutual_info,0.800000,X14,15,15,1.000000
old,mutual_info,0.800000,X15,15,15,1.000000
old,mutual_info,0.800000,X16,15,15,1.000000
old,mutual_info,0.800000,X17,15,15,1.000000
old,mutual_info,0.800000,X18,15,15,1.000000
old,mutual_info,0.800000,X4,15,15,1.000000
old,mutual_info,0.800000,X8,15,15,1.000000
old,mutual_info,0.800000,X12,14,15,0.933333
old,mutual_info,0.800000,X13,12,15,0.800000
old,mutual_info,0.800000,X6,12,15,0.800000
old,mutual_info,0.800000,X3,11,15,0.733333
old,mutual_info,0.800000,X7,11,15,0.733333
old,mutual_info,0.800000,X10,9,15,0.600000
old,mutual_info,0.800000,X5,8,15,0.533333
old,mutual_info,0.800000,X9,6,15,0.400000
old,mutual_info,0.800000,X2,5,15,0.333333
old,mutual_info,0.800000,X1,2,15,0.133333
old,rfe,0.500000,MajorGroup,15,15,1.000000
old,rfe,0.500000,X11,15,15,1.000000
old,rfe,0.500000,X15,15,15,1.000000
old,rfe,0.500000,X12,13,15,0.866667
old,rfe,0.500000,X16,11,15,0.733333
old,rfe,0.500000,X1,9,15,0.600000
old,rfe,0.500000,X3,9,15,0.600000
old,rfe,0.500000,X13,8,15,0.533333
old,rfe,0.500000,X4,7,15,0.466667
old,rfe,0.500000,X5,7,15,0.466667
old,rfe,0.500000,X8,7,15,0.466667
old,rfe,0.500000,X9,6,15,0.400000
old,rfe,0.500000,X18,5,15,0.333333
old,rfe,0.500000,X10,2,15,0.133333
old,rfe,0.500000,X6,2,15,0.133333
old,rfe,0.500000,X14,1,15,0.066667
old,rfe,0.500000,X17,1,15,0.066667
old,rfe,0.500000,X2,1,15,0.066667
old,rfe,0.500000,X7,1,15,0.066667
old,rfe,0.800000,MajorGroup,15,15,1.000000
old,rfe,0.800000,X1,15,15,1.000000
old,rfe,0.800000,X11,15,15,1.000000
old,rfe,0.800000,X15,15,15,1.000000
old,rfe,0.800000,X16,15,15,1.000000
old,rfe,0.800000,X4,15,15,1.000000
old,rfe,0.800000,X9,15,15,1.000000
old,rfe,0.800000,X12,14,15,0.933333
old,rfe,0.800000,X5,14,15,0.933333
old,rfe,0.800000,X13,13,15,0.866667
old,rfe,0.800000,X10,12,15,0.800000
old,rfe,0.800000,X18,12,15,0.800000
old,rfe,0.800000,X3,12,15,0.800000
old,rfe,0.800000,X8,12,15,0.800000
old,rfe,0.800000,X2,9,15,0.600000
old,rfe,0.800000,X7,8,15,0.533333
old,rfe,0.800000,X6,6,15,0.400000
old,rfe,0.800000,X17,5,15,0.333333
old,rfe,0.800000,X14,3,15,0.200000
old,shap,0.500000,MajorGroup,15,15,1.000000
old,shap,0.500000,X15,15,15,1.000000
old,shap,0.500000,X1,14,15,0.933333
old,shap,0.500000,X12,14,15,0.933333
old,shap,0.500000,X10,13,15,0.866667
old,shap,0.500000,X11,13,15,0.866667
old,shap,0.500000,X4,13,15,0.866667
old,shap,0.500000,X16,11,15,0.733333
old,shap,0.500000,X5,9,15,0.600000
old,shap,0.500000,X13,7,15,0.466667
old,shap,0.500000,X9,4,15,0.266667
old,shap,0.500000,X14,3,15,0.200000
old,shap,0.500000,X2,2,15,0.133333
old,shap,0.500000,X6,1,15,0.066667
old,shap,0.500000,X8,1,15,0.066667
old,shap,0.800000,MajorGroup,15,15,1.000000
old,shap,0.800000,X10,15,15,1.000000
old,shap,0.800000,X11,15,15,1.000000
old,shap,0.800000,X12,15,15,1.000000
old,shap,0.800000,X13,15,15,1.000000
old,shap,0.800000,X15,15,15,1.000000
old,shap,0.800000,X16,15,15,1.000000
old,shap,0.800000,X5,15,15,1.000000
old,shap,0.800000,X1,14,15,0.933333
old,shap,0.800000,X14,14,15,0.933333
old,shap,0.800000,X4,14,15,0.933333
old,shap,0.800000,X8,14,15,0.933333
old,shap,0.800000,X9,14,15,0.933333
old,shap,0.800000,X18,12,15,0.800000
old,shap,0.800000,X3,8,15,0.533333
old,shap,0.800000,X6,6,15,0.400000
old,shap,0.800000,X2,5,15,0.333333
old,shap,0.800000,X7,4,15,0.266667
old_new,mutual_info,0.500000,MajorGroup,15,15,1.000000
old_new,mutual_info,0.500000,X11,15,15,1.000000
old_new,mutual_info,0.500000,X12,15,15,1.000000
old_new,mutual_info,0.500000,X15,15,15,1.000000
old_new,mutual_info,0.500000,X4,15,15,1.000000
old_new,mutual_info,0.500000,X6,15,15,1.000000
old_new,mutual_info,0.500000,X8,15,15,1.000000
old_new,mutual_info,0.500000,X16,14,15,0.933333
old_new,mutual_info,0.500000,X18,8,15,0.533333
old_new,mutual_info,0.500000,X7,8,15,0.533333
old_new,mutual_info,0.800000,MajorGroup,15,15,1.000000
old_new,mutual_info,0.800000,X10,15,15,1.000000
old_new,mutual_info,0.800000,X11,15,15,1.000000
old_new,mutual_info,0.800000,X12,15,15,1.000000
old_new,mutual_info,0.800000,X14,15,15,1.000000
old_new,mutual_info,0.800000,X15,15,15,1.000000
old_new,mutual_info,0.800000,X16,15,15,1.000000
old_new,mutual_info,0.800000,X17,15,15,1.000000
old_new,mutual_info,0.800000,X18,15,15,1.000000
old_new,mutual_info,0.800000,X2,15,15,1.000000
old_new,mutual_info,0.800000,X4,15,15,1.000000
old_new,mutual_info,0.800000,X6,15,15,1.000000
old_new,mutual_info,0.800000,X7,15,15,1.000000
old_new,mutual_info,0.800000,X8,15,15,1.000000
old_new,mutual_info,0.800000,X5,12,15,0.800000
old_new,mutual_info,0.800000,X3,3,15,0.200000
old_new,rfe,0.500000,MajorGroup,15,15,1.000000
old_new,rfe,0.500000,X1,15,15,1.000000
old_new,rfe,0.500000,X11,15,15,1.000000
old_new,rfe,0.500000,X12,15,15,1.000000
old_new,rfe,0.500000,X15,15,15,1.000000
old_new,rfe,0.500000,X16,15,15,1.000000
old_new,rfe,0.500000,X18,15,15,1.000000
old_new,rfe,0.500000,X3,15,15,1.000000
old_new,rfe,0.500000,X8,15,15,1.000000
old_new,rfe,0.800000,MajorGroup,15,15,1.000000
old_new,rfe,0.800000,X1,15,15,1.000000
old_new,rfe,0.800000,X10,15,15,1.000000
old_new,rfe,0.800000,X11,15,15,1.000000
old_new,rfe,0.800000,X12,15,15,1.000000
old_new,rfe,0.800000,X13,15,15,1.000000
old_new,rfe,0.800000,X15,15,15,1.000000
old_new,rfe,0.800000,X16,15,15,1.000000
old_new,rfe,0.800000,X18,15,15,1.000000
old_new,rfe,0.800000,X3,15,15,1.000000
old_new,rfe,0.800000,X4,15,15,1.000000
