fold,model,n_train,n_val,n_test,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
0,lr,69320,12092,20354,0.6412092174771893,0.25219353221358737,0.5724428129607617,0.44278169014084506,0.1763056431826148,0.25992699922574936,0.5572183098591549
0,rf,69320,12092,20354,0.6542946203796165,0.264960579035802,0.5834095840997879,0.4511443661971831,0.18755718206770358,0.24554805884304834,0.5488556338028169
0,xgb,69320,12092,20354,0.6616519609026797,0.2682279469164715,0.5564387788049437,0.37808098591549294,0.20783934188240988,0.18106404158831987,0.621919014084507
0,lgbm,69320,12092,20354,0.6609234964037072,0.2646850672328379,0.5303806177833146,0.32922535211267606,0.22130177514792898,0.14555911956641965,0.670774647887324
1,lr,69193,12219,20354,0.6401786488074354,0.25634604439385317,0.5899860453412531,0.4958168207837957,0.17285845870432914,0.29795940939003485,0.5041831792162044
1,rf,69193,12219,20354,0.6540128834473399,0.2589836947918316,0.5439627637295266,0.3601937472479084,0.20217498764211567,0.1785102029530498,0.6398062527520916
1,xgb,69193,12219,20354,0.6561834729836803,0.2654550871443468,0.5615103145489524,0.39233817701453105,0.20058532192705988,0.19637228336006193,0.607661822985469
1,lgbm,69193,12219,20354,0.6620299181622351,0.27292374189564683,0.563670755182676,0.38925583443416995,0.210125980508676,0.18376375601393574,0.61074416556583
2,lr,69124,12294,20348,0.6441012755576851,0.2539270788298026,0.5537736951995691,0.38793483047115807,0.1887317909168809,0.20949272556286994,0.6120651695288419
2,rf,69124,12294,20348,0.656532575422808,0.2707652060170046,0.5885185886417673,0.4557463672391017,0.1925939709713435,0.240028765835039,0.5442536327608983
2,xgb,69124,12294,20348,0.6659782251017937,0.274438921524326,0.5695883903181027,0.401144870101277,0.20856227106227107,0.19123748409581237,0.598855129898723
2,lgbm,69124,12294,20348,0.6668430002708459,0.2819356777877968,0.5782045691846629,0.41303390576838395,0.21400866986082592,0.1905736571333739,0.586966094231616
3,lr,69080,12330,20356,0.6361603839749401,0.24894199651481205,0.5694207669592959,0.44014084507042256,0.17355085039916696,0.263326697633267,0.5598591549295775
3,rf,69080,12330,20356,0.651503736670187,0.26003976143141155,0.5738477923815529,0.4317781690140845,0.18604210127062393,0.23733687237336873,0.5682218309859155
3,xgb,69080,12330,20356,0.6632613068785418,0.26968973747016706,0.6003754025649571,0.49735915492957744,0.18500327439423706,0.2752709577527096,0.5026408450704225
3,lgbm,69080,12330,20356,0.6645983892461159,0.2735487404162103,0.5845005824952753,0.4397007042253521,0.19852941176470587,0.2230148197301482,0.5602992957746479
4,lr,69302,12110,20354,0.6455589231834333,0.25078728886344115,0.5512190614894751,0.3857331571994716,0.18579003181336162,0.2122988442183266,0.6142668428005285
4,rf,69302,12110,20354,0.6564568345293084,0.26527348331378614,0.6083930081002492,0.5477763099955967,0.17501406865503658,0.3242824752530001,0.4522236900044033
4,xgb,69302,12110,20354,0.6688434656448508,0.2798661174047374,0.601593133567122,0.47864376926464114,0.19774422412224849,0.24387546314217773,0.5213562307353589
4,lgbm,69302,12110,20354,0.6672548590891363,0.2840611654497865,0.5955183187159547,0.45398502862175255,0.20669607056936648,0.21882431012553227,0.5460149713782475
