new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.0498,0.0488,0.1022,0.0806,0.0703
14yr,0.0482,0.0542,0.0599,0.0739,0.0591
13yr,0.0533,0.0559,0.0743,0.0670,0.0626
12yr,0.0691,0.0491,0.0810,0.0798,0.0698
11yr,0.0393,0.0519,0.0595,0.1070,0.0644
10yr,0.0643,0.0551,0.0875,0.0777,0.0711
9yr,0.0569,0.0424,0.0535,0.0749,0.0569
8yr,0.0444,0.0348,0.0818,0.0798,0.0602
7yr,0.0449,0.0518,0.0431,0.0689,0.0522
6yr,0.0424,0.0383,0.0442,0.0784,0.0508
5yr,0.0669,0.0339,0.0421,0.0764,0.0548
4yr,0.0418,0.0386,0.0458,0.0489,0.0437
3yr,0.0549,0.0444,0.0841,0.0619,0.0613
2yr,0.0409,0.0126,0.0905,0.0454,0.0473
1yr,0.0204,0.0254,0.0071,0.1221,0.0437
avg,0.0491,0.0425,0.0638,0.0762,0.0579
