old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.5676,0.5137,0.5818,0.5812,0.5611
2yr,0.5996,0.6011,0.6114,0.6606,0.6182
3yr,0.6289,0.6236,0.5884,0.6544,0.6238
4yr,0.6496,0.6393,0.6568,0.6658,0.6529
5yr,0.6779,0.6444,0.6362,0.6935,0.6630
6yr,0.6950,0.6772,0.6687,0.6637,0.6762
7yr,0.6950,0.6919,0.6815,0.6744,0.6857
8yr,0.7162,0.7009,0.6660,0.6846,0.6919
9yr,0.7376,0.7484,0.7305,0.7522,0.7422
10yr,0.7502,0.7622,0.7055,0.7765,0.7486
11yr,0.7827,0.7876,0.7524,0.7888,0.7779
12yr,0.7941,0.7890,0.7521,0.7992,0.7836
13yr,0.8019,0.7910,0.7791,0.7906,0.7906
14yr,0.8324,0.7883,0.7671,0.8115,0.7998
15yr,0.8241,0.8414,0.8018,0.8172,0.8212
avg,0.7169,0.7067,0.6920,0.7209,0.7091
