new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.4530,0.4390,0.4983,0.4948,0.4713
14yr,0.4808,0.4878,0.4007,0.4808,0.4625
13yr,0.5052,0.4843,0.4251,0.4948,0.4774
12yr,0.5784,0.4983,0.4704,0.5610,0.5270
11yr,0.4808,0.5436,0.4460,0.6098,0.5200
10yr,0.5470,0.5366,0.4983,0.5610,0.5357
9yr,0.5122,0.4948,0.4390,0.5575,0.5009
8yr,0.5122,0.4704,0.5122,0.5645,0.5148
7yr,0.5087,0.5470,0.3763,0.5401,0.4930
6yr,0.4878,0.4739,0.3659,0.5470,0.4686
5yr,0.5854,0.4042,0.4111,0.5331,0.4834
4yr,0.4495,0.4599,0.3972,0.4146,0.4303
3yr,0.5052,0.4564,0.5226,0.5087,0.4983
2yr,0.4355,0.2160,0.5052,0.3380,0.3737
1yr,0.2718,0.3136,0.1185,0.5436,0.3118
avg,0.4876,0.4551,0.4258,0.5166,0.4713
