method,hybrid,none,oversampling,undersampling
Old,0.4037,0.3180,0.3765,0.3080
New,0.5166,0.4876,0.4258,0.4551
Retrain,0.5575,0.4495,0.4704,0.3972
Finetune,0.5603,0.5250,0.4755,0.5154
