old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.3868,0.3031,0.3380,0.1707,0.2997
2yr,0.1533,0.2160,0.3833,0.5749,0.3319
3yr,0.1951,0.2509,0.3345,0.3798,0.2901
4yr,0.1254,0.2369,0.2753,0.2787,0.2291
5yr,0.3136,0.1986,0.3659,0.3902,0.3171
6yr,0.2230,0.3345,0.2683,0.2927,0.2796
7yr,0.2822,0.1916,0.3171,0.2927,0.2709
8yr,0.3101,0.2230,0.2334,0.3519,0.2796
9yr,0.3763,0.2857,0.4948,0.4913,0.4120
10yr,0.3380,0.3798,0.3833,0.4739,0.3937
11yr,0.3937,0.3798,0.4599,0.4669,0.4251
12yr,0.3902,0.3659,0.4878,0.4460,0.4225
13yr,0.4042,0.4042,0.4530,0.4913,0.4382
14yr,0.4530,0.3972,0.3554,0.4530,0.4146
15yr,0.4251,0.4530,0.4983,0.5017,0.4695
avg,0.3180,0.3080,0.3765,0.4037,0.3516
