old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.0277,0.0236,0.0346,0.0312,0.0293
2yr,0.0389,0.0414,0.0346,0.0391,0.0385
3yr,0.0426,0.0356,0.0337,0.0385,0.0376
4yr,0.0427,0.0536,0.0405,0.0467,0.0459
5yr,0.0484,0.0491,0.0454,0.0498,0.0482
6yr,0.0484,0.0487,0.0463,0.0448,0.0471
7yr,0.0581,0.0610,0.0486,0.0522,0.0550
8yr,0.0651,0.0708,0.0520,0.0545,0.0606
9yr,0.0753,0.0893,0.0561,0.0639,0.0712
10yr,0.0902,0.0941,0.0637,0.0804,0.0821
11yr,0.0954,0.1181,0.0728,0.0939,0.0950
12yr,0.1195,0.1108,0.0707,0.0910,0.0980
13yr,0.1186,0.1221,0.0826,0.0930,0.1041
14yr,0.1242,0.1123,0.1029,0.1011,0.1101
15yr,0.1415,0.1329,0.0958,0.1045,0.1187
avg,0.0758,0.0776,0.0587,0.0656,0.0694
