old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.6132,0.6969,0.6620,0.8293,0.7003
2yr,0.8467,0.7840,0.6167,0.4251,0.6681
3yr,0.8049,0.7491,0.6655,0.6202,0.7099
4yr,0.8746,0.7631,0.7247,0.7213,0.7709
5yr,0.6864,0.8014,0.6341,0.6098,0.6829
6yr,0.7770,0.6655,0.7317,0.7073,0.7204
7yr,0.7178,0.8084,0.6829,0.7073,0.7291
8yr,0.6899,0.7770,0.7666,0.6481,0.7204
9yr,0.6237,0.7143,0.5052,0.5087,0.5880
10yr,0.6620,0.6202,0.6167,0.5261,0.6063
11yr,0.6063,0.6202,0.5401,0.5331,0.5749
12yr,0.6098,0.6341,0.5122,0.5540,0.5775
13yr,0.5958,0.5958,0.5470,0.5087,0.5618
14yr,0.5470,0.6028,0.6446,0.5470,0.5854
15yr,0.5749,0.5470,0.5017,0.4983,0.5305
avg,0.6820,0.6920,0.6235,0.5963,0.6484
