dataset,phase,method,split_mode,AUC,F1,Recall,Precision,G_Mean,Type1_Error_FPR,Type2_Error_FNR
stock,P3_DCS_DES,DCS_LCA_TW,chronological,0.5133,0.0,0.0,0.0,0.0,0.0,1.0
stock,P3_DCS_DES,DCS_OLA,chronological,0.5079,0.1088,0.2254,0.0717,0.421,0.2134,0.7746
stock,P3_DCS_DES,DCS_OLA_TW,chronological,0.5079,0.1088,0.2254,0.0717,0.421,0.2134,0.7746
stock_dji,P1_finetune,finetune_none,chronological,0.6134,0.0,0.0,0.0,0.0,0.0,1.0
stock_dji,P1_finetune,finetune_oversampling,chronological,0.5889,0.0,0.0,0.0,0.0,0.0,1.0
stock_dji,P1_finetune,finetune_hybrid,chronological,0.5845,0.0,0.0,0.0,0.0,0.0,1.0
stock_dji,P1_finetune,finetune_undersampling,chronological,0.559,0.0,0.0,0.0,0.0,0.0,1.0
stock_dji,P1_retrain,retrain_none,chronological,0.5067,0.0,0.0,0.0,0.0,0.0,1.0
stock_dji,P1_retrain,retrain_hybrid,chronological,0.4866,0.0,0.0,0.0,0.0,0.0,1.0
stock_dji,P1_retrain,retrain_oversampling,chronological,0.4736,0.0,0.0,0.0,0.0,0.0,1.0
stock_dji,P1_retrain,retrain_undersampling,chronological,0.4506,0.0,0.0,0.0,0.0,0.0,1.0
stock_dji,P2_best_combo,best_size3_o1n2,block_cv,0.5484,0.0,0.0,,0.0,0.0,
stock_dji,P2_best_combo,best_size4_o1n3,block_cv,0.5484,0.0,0.0,,0.0,0.0,
stock_dji,P2_best_combo,best_size2_o1n1,block_cv,0.5481,0.1,0.1216,,0.3308,0.1003,
stock_dji,P2_best_combo,best_size5_o2n3,block_cv,0.5458,0.0,0.0,,0.0,0.0,
stock_dji,P2_best_combo,best_size6_o3n3,block_cv,0.5455,0.0,0.0,,0.0,0.0,
stock_dji,P2_best_combo,best_size2_o1n1,chronological,0.5275,0.0,0.0,,0.0,0.0,
stock_dji,P2_best_combo,best_size3_o1n2,chronological,0.5275,0.0,0.0,,0.0,0.0,
stock_dji,P2_best_combo,best_size4_o1n3,chronological,0.5275,0.0,0.0,,0.0,0.0,
stock_dji,P2_best_combo,best_size5_o2n3,chronological,0.4713,0.0,0.0,,0.0,0.0,
stock_dji,P2_best_combo,best_size6_o3n3,chronological,0.4324,0.0,0.0,,0.0,0.0,
stock_dji,P2_ensemble,ensemble_new_3,chronological,0.5942,0.0,0.0,0.0,0.0,0.0,1.0
stock_dji,P2_ensemble,ensemble_3_type_b,chronological,0.5483,0.0,0.0,0.0,0.0,0.0,1.0
stock_dji,P2_ensemble,ensemble_old_3,chronological,0.5456,0.1477,0.5541,0.0852,0.5495,0.455,0.4459
stock_dji,P2_ensemble,ensemble_all_6,chronological,0.5455,0.0,0.0,0.0,0.0,0.0,1.0
stock_dji,P2_ensemble,ensemble_2_old_hybrid_new_hybrid,chronological,0.5453,0.0,0.0,0.0,0.0,0.0,1.0
stock_dji,P2_ensemble,ensemble_3_type_a,chronological,0.5347,0.1465,0.3514,0.0925,0.5086,0.2637,0.6486
stock_dji,P4_feature_selection,fs_kbest_chi2_r80,block_cv,0.6542,0.0,0.0,0.0,0.0,0.0,1.0
stock_dji,P4_feature_selection,fs_kbest_f_r80,block_cv,0.6317,0.0,0.0,0.0,0.0,0.0,1.0
stock_dji,P4_feature_selection,fs_no_fs,block_cv,0.5942,0.0,0.0,0.0,0.0,0.0,1.0
stock_dji,P4_feature_selection,fs_lasso_r20,block_cv,0.5609,0.0,0.0,0.0,0.0,0.0,1.0
stock_dji,P4_feature_selection,fs_lasso_r50,block_cv,0.5609,0.0,0.0,0.0,0.0,0.0,1.0
stock_dji,P4_feature_selection,fs_lasso_r80,block_cv,0.5609,0.0,0.0,0.0,0.0,0.0,1.0
stock_dji,P4_feature_selection,fs_kbest_f_r50,block_cv,0.5352,0.0,0.0,0.0,0.0,0.0,1.0
stock_dji,P4_feature_selection,fs_kbest_chi2_r20,block_cv,0.513,0.0792,0.1622,0.0524,0.3546,0.2244,0.8378
stock_dji,P4_feature_selection,fs_kbest_f_r20,block_cv,0.507,0.0808,0.1622,0.0538,0.3561,0.2182,0.8378
stock_dji,P4_feature_selection,fs_kbest_chi2_r50,block_cv,0.4874,0.0,0.0,0.0,0.0,0.0,1.0
stock_ndx,P1_finetune,finetune_hybrid,chronological,0.5754,0.0,0.0,0.0,0.0,0.0,1.0
stock_ndx,P1_finetune,finetune_none,chronological,0.5542,0.1603,0.4211,0.099,0.509,0.3848,0.5789
stock_ndx,P1_finetune,finetune_oversampling,chronological,0.553,0.0,0.0,0.0,0.0,0.0,1.0
stock_ndx,P1_finetune,finetune_undersampling,chronological,0.5494,0.1494,0.3789,0.093,0.4882,0.371,0.6211
stock_ndx,P1_retrain,retrain_hybrid,chronological,0.5907,0.0,0.0,0.0,0.0,0.0148,1.0
stock_ndx,P1_retrain,retrain_none,chronological,0.5718,0.1387,0.2737,0.0929,0.4474,0.2685,0.7263
stock_ndx,P1_retrain,retrain_oversampling,chronological,0.563,0.1375,0.1158,0.1692,0.3304,0.0571,0.8842
stock_ndx,P1_retrain,retrain_undersampling,chronological,0.5616,0.1545,0.3895,0.0964,0.4966,0.3668,0.6105
stock_ndx,P2_best_combo,best_size2_o1n1,block_cv,0.5912,0.2116,0.8632,,0.5635,0.6321,
stock_ndx,P2_best_combo,best_size2_o1n1,chronological,0.5839,0.0204,0.0105,,0.1025,0.0022,
stock_ndx,P2_best_combo,best_size3_o1n2,chronological,0.5803,0.0,0.0,,0.0,0.0,
stock_ndx,P2_best_combo,best_size3_o1n2,block_cv,0.5737,0.0,0.0,,0.0,0.0,
stock_ndx,P2_best_combo,best_size4_o1n3,chronological,0.5692,0.0,0.0,,0.0,0.0,
stock_ndx,P2_best_combo,best_size4_o2n2,block_cv,0.564,0.2031,0.7684,,0.5664,0.5825,
stock_ndx,P2_best_combo,best_size5_o3n2,chronological,0.5615,0.1535,0.3895,,0.4865,0.3924,
stock_ndx,P2_best_combo,best_size6_o3n3,chronological,0.5601,0.1805,0.2632,,0.4657,0.176,
stock_ndx,P2_best_combo,best_size5_o3n2,block_cv,0.5514,0.1673,1.0,,0.0,1.0,
stock_ndx,P2_best_combo,best_size6_o3n3,block_cv,0.5441,0.1832,0.6421,,0.544,0.5391,
stock_ndx,P2_ensemble,ensemble_2_old_hybrid_new_hybrid,chronological,0.5912,0.2116,0.8632,0.1206,0.5635,0.6321,0.1368
stock_ndx,P2_ensemble,ensemble_3_type_b,chronological,0.5737,0.0,0.0,0.0,0.0,0.0,1.0
stock_ndx,P2_ensemble,ensemble_3_type_a,chronological,0.5638,0.1673,1.0,0.0913,0.0,1.0,0.0
stock_ndx,P2_ensemble,ensemble_old_3,chronological,0.549,0.1673,1.0,0.0913,0.0,1.0,0.0
stock_ndx,P2_ensemble,ensemble_new_3,chronological,0.5478,0.0,0.0,0.0,0.0,0.0,1.0
stock_ndx,P2_ensemble,ensemble_all_6,chronological,0.5441,0.1832,0.6421,0.1068,0.544,0.5391,0.3579
stock_ndx,P4_feature_selection,fs_kbest_f_r50,block_cv,0.5638,0.1545,0.4,0.0957,0.4982,0.3795,0.6
stock_ndx,P4_feature_selection,fs_kbest_chi2_r50,block_cv,0.5583,0.1538,0.3895,0.0959,0.4958,0.3689,0.6105
stock_ndx,P4_feature_selection,fs_kbest_chi2_r80,block_cv,0.5562,0.0,0.0,0.0,0.0,0.0201,1.0
stock_ndx,P4_feature_selection,fs_lasso_r20,block_cv,0.5536,0.166,0.4105,0.104,0.5145,0.3552,0.5895
stock_ndx,P4_feature_selection,fs_lasso_r50,block_cv,0.5536,0.166,0.4105,0.104,0.5145,0.3552,0.5895
stock_ndx,P4_feature_selection,fs_lasso_r80,block_cv,0.5536,0.166,0.4105,0.104,0.5145,0.3552,0.5895
stock_ndx,P4_feature_selection,fs_no_fs,block_cv,0.5478,0.0,0.0,0.0,0.0,0.0,1.0
stock_ndx,P4_feature_selection,fs_kbest_f_r80,block_cv,0.5338,0.0,0.0,0.0,0.0,0.0201,1.0
stock_ndx,P4_feature_selection,fs_kbest_chi2_r20,block_cv,0.5249,0.0695,0.0947,0.0549,0.2815,0.1638,0.9053
stock_ndx,P4_feature_selection,fs_kbest_f_r20,block_cv,0.5137,0.0345,0.0421,0.0292,0.1902,0.1406,0.9579
stock_spx,P1_finetune,finetune_hybrid,chronological,0.6134,0.0,0.0,0.0,0.0,0.0,1.0
stock_spx,P1_finetune,finetune_undersampling,chronological,0.5995,0.0,0.0,0.0,0.0,0.0175,1.0
stock_spx,P1_finetune,finetune_oversampling,chronological,0.5915,0.0,0.0,0.0,0.0,0.0,1.0
stock_spx,P1_finetune,finetune_none,chronological,0.5778,0.0,0.0,0.0,0.0,0.0041,1.0
stock_spx,P1_retrain,retrain_none,chronological,0.598,0.0,0.0,0.0,0.0,0.0,1.0
stock_spx,P1_retrain,retrain_oversampling,chronological,0.5626,0.0,0.0,0.0,0.0,0.0,1.0
stock_spx,P1_retrain,retrain_undersampling,chronological,0.5546,0.0,0.0,0.0,0.0,0.0,1.0
stock_spx,P1_retrain,retrain_hybrid,chronological,0.5529,0.0,0.0,0.0,0.0,0.0,1.0
stock_spx,P2_best_combo,best_size3_o1n2,block_cv,0.5823,0.0,0.0,,0.0,0.0,
stock_spx,P2_best_combo,best_size4_o1n3,block_cv,0.5782,0.0,0.0,,0.0,0.0062,
stock_spx,P2_best_combo,best_size2_o1n1,block_cv,0.5778,0.1608,0.3521,,0.5235,0.2216,
stock_spx,P2_best_combo,best_size4_o3n1,chronological,0.5657,0.0,0.0,,0.0,0.0,
