dataset,method,AUC,F1,Precision,Recall,Type1_Error(FPR),Type2_Error(FNR)
bankruptcy,finetune_undersampling,0.8793899316352777,0.2623853211009174,0.1780821917808219,0.4982578397212543,0.055022926219258,0.5017421602787456
bankruptcy,finetune_none,0.8759160683966751,0.2811016144349477,0.1932114882506527,0.5156794425087108,0.0515214672780325,0.4843205574912892
bankruptcy,ensemble_new_3,0.8693349290427341,0.2393574297188755,0.1555323590814196,0.519163763066202,0.0674447686536056,0.4808362369337979
bankruptcy,retrain_none,0.8644544111730643,0.1347210176351546,0.0734552332912988,0.8118466898954704,0.2450187578157565,0.1881533101045296
bankruptcy,retrain_undersampling,0.8632731698602641,0.1341927922648696,0.0732565579014715,0.7979094076655052,0.241517298874531,0.2020905923344947
bankruptcy,ensemble_all_6,0.8574914344391463,0.2160052049446974,0.1328,0.578397212543554,0.0903709879116298,0.4216027874564459
bankruptcy,DES_KNORAE,0.8559588562597946,0.2223786066150598,0.1393298059964726,0.5505226480836237,,
bankruptcy,finetune_hybrid,0.8551745573431438,0.1935866983372921,0.1166785969935576,0.5679442508710801,0.1028761984160066,0.4320557491289198
bankruptcy,ensemble_4,0.8491502702200249,0.1950632149307646,0.1179039301310043,0.5644599303135889,0.1010421008753647,0.4355400696864111
bankruptcy,ensemble_3_type_a,0.8489640718475904,0.1851453175457481,0.109484404837683,0.5993031358885017,0.1166319299708211,0.4006968641114982
bankruptcy,ensemble_5,0.8401912527432306,0.1889763779527559,0.1126760563380281,0.5853658536585366,0.1102959566486035,0.4146341463414634
bankruptcy,ensemble_3_type_b,0.8384007273646248,0.1932773109243697,0.116751269035533,0.5609756097560976,0.1015423092955398,0.4390243902439024
bankruptcy,ensemble_2_old_hybrid_new_hybrid,0.8372666892273639,0.184140500266099,0.1086683417085427,0.6027874564459931,0.1182992913714047,0.397212543554007
bankruptcy,finetune_oversampling,0.8265302180205747,0.18397212543554,0.1149825783972125,0.4599303135888501,0.0847019591496456,0.5400696864111498
bankruptcy,ensemble_old_pool,0.8086293214507206,0.1327088212334114,0.0747252747252747,0.5923344947735192,0.1754897874114214,0.4076655052264808
bankruptcy,ensemble_old_3,0.8086293214507206,0.1327088212334114,0.0747252747252747,0.5923344947735192,0.1754897874114214,0.4076655052264808
bankruptcy,retrain_hybrid,0.8046903980026522,0.1336370539104024,0.0749893481039625,0.6132404181184669,0.1809920800333472,0.3867595818815331
bankruptcy,retrain_oversampling,0.7783475402788328,0.1264855687606112,0.0720154664088931,0.519163763066202,0.1600666944560233,0.4808362369337979
