sampling,model,AUC_mean,AUC_std,F1_mean,F1_std,G_Mean_mean,G_Mean_std,Recall_mean,Recall_std,Precision_mean,Precision_std,Type1_Error_mean,Type1_Error_std,Type2_Error_mean,Type2_Error_std
none,lgbm,0.6286110747168194,0.017388268545451963,0.20679836268744203,0.051311399888117934,0.4451028289816583,0.10449041705017392,0.24180790960451976,0.10580218009041005,0.21613069704558624,0.04669602061364922,0.12199578355586789,0.06521986370058597,0.7581920903954803,0.10580218009041005
none,lr,0.6390834990927895,0.017184601490657887,0.24745388801234372,0.016099743192870084,0.5821624303784876,0.02108957450959713,0.49039548022598867,0.03819309329074708,0.16560662618739092,0.011314318869899927,0.30765987350667606,0.020211584553475822,0.5096045197740112,0.03819309329074703
none,rf,0.6463090232698485,0.008216591109985679,0.10762958058604315,0.11284572366169827,0.2557881807960688,0.1955206695756077,0.10734463276836159,0.13195447134606397,0.6197266139657444,0.3929067358551935,0.044834855938158814,0.06187590860325084,0.8926553672316384,0.13195447134606397
none,xgb,0.6305910565329078,0.018283156392839492,0.24399243178490204,0.022593326014387696,0.5413543716869134,0.05512660837831796,0.3887005649717514,0.12335288451652968,0.1831744821544629,0.012173417647017142,0.21883345045678143,0.08437220718896454,0.6112994350282486,0.12335288451652969
