dataset,ensemble,type,subset,subset_indices,F1
O1 + N15,2models,k_subset,Old_under+New_under,"0,3",0.2356
O1 + N15,2models,k_subset,Old_under+New_over,"0,4",0.1947
O1 + N15,2models,k_subset,Old_under+New_hybrid,"0,5",0.2241
O1 + N15,2models,k_subset,Old_over+New_under,"1,3",0.1677
O1 + N15,2models,k_subset,Old_over+New_over,"1,4",0.1441
O1 + N15,2models,k_subset,Old_over+New_hybrid,"1,5",0.1964
O1 + N15,2models,k_subset,Old_hybrid+New_under,"2,3",0.2341
O1 + N15,2models,k_subset,Old_hybrid+New_over,"2,4",0.1652
O1 + N15,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.2045
O1 + N15,2models,k_subsets_mean,,,0.1962
O1 + N15,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.1576
O1 + N15,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.1389
O1 + N15,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.1729
O1 + N15,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.1618
O1 + N15,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.1482
O1 + N15,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.1531
O1 + N15,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.2439
O1 + N15,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.2523
O1 + N15,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.2004
O1 + N15,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.1250
O1 + N15,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.1126
O1 + N15,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.1386
O1 + N15,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.2214
O1 + N15,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.2347
O1 + N15,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.2010
O1 + N15,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.2265
O1 + N15,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.2245
O1 + N15,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.1913
O1 + N15,3models,k_subsets_mean,,,0.1836
O1 + N15,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.1158
O1 + N15,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.1080
O1 + N15,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.1243
O1 + N15,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.1791
O1 + N15,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.2257
O1 + N15,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.1839
O1 + N15,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.2144
O1 + N15,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.2345
O1 + N15,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.2083
O1 + N15,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.2439
O1 + N15,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.1569
O1 + N15,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.1959
