dataset,ensemble,type,subset,subset_indices,AUC
O12 + N4,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.8156
O12 + N4,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.8282
O12 + N4,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.8352
O12 + N4,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.8225
O12 + N4,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.8472
O12 + N4,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.8506
O12 + N4,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.8390
O12 + N4,3models,k_subsets_mean,,,0.8311
O12 + N4,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.8208
O12 + N4,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.8125
O12 + N4,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.8211
O12 + N4,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.8367
O12 + N4,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.8418
O12 + N4,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.8342
O12 + N4,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.8478
O12 + N4,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.8505
O12 + N4,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.8435
O12 + N4,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.8558
O12 + N4,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.8305
O12 + N4,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.8359
O12 + N4,4models,k_subset,Old_over+Old_hybrid+New_over+New_hybrid,"1,2,4,5",0.8254
O12 + N4,4models,k_subset,Old_over+New_under+New_over+New_hybrid,"1,3,4,5",0.8376
O12 + N4,4models,k_subset,Old_hybrid+New_under+New_over+New_hybrid,"2,3,4,5",0.8517
O12 + N4,4models,k_subsets_mean,,,0.8364
O12 + N4,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over,"0,1,2,3,4",0.8344
O12 + N4,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_hybrid,"0,1,2,3,5",0.8386
O12 + N4,5models,k_subset,Old_under+Old_over+Old_hybrid+New_over+New_hybrid,"0,1,2,4,5",0.8317
O12 + N4,5models,k_subset,Old_under+Old_over+New_under+New_over+New_hybrid,"0,1,3,4,5",0.8457
O12 + N4,5models,k_subset,Old_under+Old_hybrid+New_under+New_over+New_hybrid,"0,2,3,4,5",0.8540
O12 + N4,5models,k_subset,Old_over+Old_hybrid+New_under+New_over+New_hybrid,"1,2,3,4,5",0.8395
O12 + N4,5models,k_subsets_mean,,,0.8406
O12 + N4,6models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over+New_hybrid,"0,1,2,3,4,5",0.8436
O12 + N4,6models,k_subsets_mean,,,0.8436
O12 + N4,New,under,,,0.8429
O12 + N4,New,over,,,0.8151
O12 + N4,New,hybrid,,,0.8375
O12 + N4,Old,under,,,0.7595
O12 + N4,Old,over,,,0.7181
O12 + N4,Old,hybrid,,,0.7807
O12 + N4,OldNew,under,,,0.8318
O12 + N4,OldNew,over,,,0.7927
O12 + N4,OldNew,hybrid,,,0.8331
O14 + N2,2models,k_subset,Old_under+New_under,"0,3",0.8489
O14 + N2,2models,k_subset,Old_under+New_over,"0,4",0.8549
O14 + N2,2models,k_subset,Old_under+New_hybrid,"0,5",0.8673
O14 + N2,2models,k_subset,Old_over+New_under,"1,3",0.7983
O14 + N2,2models,k_subset,Old_over+New_over,"1,4",0.7972
O14 + N2,2models,k_subset,Old_over+New_hybrid,"1,5",0.8203
O14 + N2,2models,k_subset,Old_hybrid+New_under,"2,3",0.8230
O14 + N2,2models,k_subset,Old_hybrid+New_over,"2,4",0.8209
O14 + N2,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.8363
O14 + N2,2models,k_subsets_mean,,,0.8297
O14 + N2,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.8341
O14 + N2,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.8340
O14 + N2,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.8491
O14 + N2,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.8408
O14 + N2,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.8423
O14 + N2,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.8544
O14 + N2,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.8652
O14 + N2,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.8718
O14 + N2,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.8686
O14 + N2,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.8050
O14 + N2,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.8041
O14 + N2,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.8202
O14 + N2,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.8206
O14 + N2,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.8336
O14 + N2,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.8282
O14 + N2,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.8373
O14 + N2,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.8463
O14 + N2,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.8412
O14 + N2,3models,k_subsets_mean,,,0.8387
O14 + N2,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.8271
O14 + N2,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.8272
O14 + N2,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.8397
O14 + N2,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.8468
O14 + N2,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.8568
O14 + N2,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.8533
O14 + N2,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.8532
O14 + N2,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.8614
O14 + N2,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.8586
O14 + N2,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.8724
O14 + N2,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.8211
O14 + N2,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.8321
O14 + N2,4models,k_subset,Old_over+Old_hybrid+New_over+New_hybrid,"1,2,4,5",0.8283
O14 + N2,4models,k_subset,Old_over+New_under+New_over+New_hybrid,"1,3,4,5",0.8374
O14 + N2,4models,k_subset,Old_hybrid+New_under+New_over+New_hybrid,"2,3,4,5",0.8484
O14 + N2,4models,k_subsets_mean,,,0.8443
O14 + N2,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over,"0,1,2,3,4",0.8391
O14 + N2,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_hybrid,"0,1,2,3,5",0.8482
O14 + N2,5models,k_subset,Old_under+Old_over+Old_hybrid+New_over+New_hybrid,"0,1,2,4,5",0.8459
O14 + N2,5models,k_subset,Old_under+Old_over+New_under+New_over+New_hybrid,"0,1,3,4,5",0.8586
O14 + N2,5models,k_subset,Old_under+Old_hybrid+New_under+New_over+New_hybrid,"0,2,3,4,5",0.8633
O14 + N2,5models,k_subset,Old_over+Old_hybrid+New_under+New_over+New_hybrid,"1,2,3,4,5",0.8364
O14 + N2,5models,k_subsets_mean,,,0.8486
O14 + N2,6models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over+New_hybrid,"0,1,2,3,4,5",0.8517
O14 + N2,6models,k_subsets_mean,,,0.8517
O14 + N2,New,under,,,0.8515
O14 + N2,New,over,,,0.8270
O14 + N2,New,hybrid,,,0.8399
O14 + N2,Old,under,,,0.8132
O14 + N2,Old,over,,,0.7391
O14 + N2,Old,hybrid,,,0.7822
O14 + N2,OldNew,under,,,0.8489
O14 + N2,OldNew,over,,,0.7972
O14 + N2,OldNew,hybrid,,,0.8363
avg,2models,k_subset,Old_under+New_under,"0,3",0.8190
avg,2models,k_subset,Old_under+New_over,"0,4",0.7947
avg,2models,k_subset,Old_under+New_hybrid,"0,5",0.8242
avg,2models,k_subset,Old_over+New_under,"1,3",0.8025
avg,2models,k_subset,Old_over+New_over,"1,4",0.7684
avg,2models,k_subset,Old_over+New_hybrid,"1,5",0.7987
avg,2models,k_subset,Old_hybrid+New_under,"2,3",0.8106
avg,2models,k_subset,Old_hybrid+New_over,"2,4",0.7799
avg,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.8063
avg,2models,k_subsets_mean,,,0.8005
avg,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.7936
avg,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.7688
avg,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.7969
avg,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.7983
avg,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.7755
avg,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.8005
avg,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.8364
avg,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.8493
avg,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.8313
avg,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.7835
avg,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.7579
avg,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.7826
avg,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.8185
avg,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.8328
avg,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.8102
avg,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.8244
avg,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.8372
avg,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.8165
avg,3models,k_subsets_mean,,,0.8063
avg,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.7778
avg,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.7577
avg,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.7807
avg,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.8157
avg,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.8300
avg,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.8122
avg,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.8187
avg,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.8319
avg,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.8153
avg,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.8487
avg,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.8042
avg,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.8177
avg,4models,k_subset,Old_over+Old_hybrid+New_over+New_hybrid,"1,2,4,5",0.7992
avg,4models,k_subset,Old_over+New_under+New_over+New_hybrid,"1,3,4,5",0.8333
avg,4models,k_subset,Old_hybrid+New_under+New_over+New_hybrid,"2,3,4,5",0.8377
avg,4models,k_subsets_mean,,,0.8120
avg,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over,"0,1,2,3,4",0.8010
avg,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_hybrid,"0,1,2,3,5",0.8143
avg,5models,k_subset,Old_under+Old_over+Old_hybrid+New_over+New_hybrid,"0,1,2,4,5",0.7992
avg,5models,k_subset,Old_under+Old_over+New_under+New_over+New_hybrid,"0,1,3,4,5",0.8336
avg,5models,k_subset,Old_under+Old_hybrid+New_under+New_over+New_hybrid,"0,2,3,4,5",0.8357
avg,5models,k_subset,Old_over+Old_hybrid+New_under+New_over+New_hybrid,"1,2,3,4,5",0.8229
avg,5models,k_subsets_mean,,,0.8178
avg,6models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over+New_hybrid,"0,1,2,3,4,5",0.8217
avg,6models,k_subsets_mean,,,0.8217
avg,New,under,,,0.8424
avg,New,over,,,0.8038
avg,New,hybrid,,,0.8326
avg,Old,under,,,0.6592
avg,Old,over,,,0.6445
avg,Old,hybrid,,,0.6836
avg,OldNew,under,,,0.8190
avg,OldNew,over,,,0.7684
avg,OldNew,hybrid,,,0.8063
