dataset,split,ensemble,type,subset,subset_indices,AUC,F1,Recall
O2 + N14,split_2+14,5models,k_subset,Old_under+Old_over+Old_hybrid+New_over+New_hybrid,"0,1,2,4,5",0.7480,0.1023,0.4251
O2 + N14,split_2+14,5models,k_subset,Old_under+Old_over+New_under+New_over+New_hybrid,"0,1,3,4,5",0.8064,0.1465,0.4425
O2 + N14,split_2+14,5models,k_subset,Old_under+Old_hybrid+New_under+New_over+New_hybrid,"0,2,3,4,5",0.8021,0.1404,0.4564
O2 + N14,split_2+14,5models,k_subset,Old_over+Old_hybrid+New_under+New_over+New_hybrid,"1,2,3,4,5",0.7915,0.1261,0.4669
O2 + N14,split_2+14,5models,k_subsets_mean,,,0.7792,0.1231,0.4437
O2 + N14,split_2+14,6models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over+New_hybrid,"0,1,2,3,4,5",0.7835,0.1262,0.4530
O2 + N14,split_2+14,6models,k_subsets_mean,,,0.7835,0.1262,0.4530
O4 + N12,split_4+12,Old,under,,,0.5456,0.0520,0.1324
O4 + N12,split_4+12,New,under,,,0.8416,0.2240,0.5261
O4 + N12,split_4+12,OldNew,under,,,0.8028,0.1629,0.4983
O4 + N12,split_4+12,Old,over,,,0.5773,0.0598,0.2125
O4 + N12,split_4+12,New,over,,,0.7922,0.1518,0.4669
O4 + N12,split_4+12,OldNew,over,,,0.7398,0.1082,0.5157
O4 + N12,split_4+12,Old,hybrid,,,0.5903,0.0640,0.2334
O4 + N12,split_4+12,New,hybrid,,,0.8440,0.1963,0.5296
O4 + N12,split_4+12,OldNew,hybrid,,,0.7945,0.1448,0.5401
O4 + N12,split_4+12,2models,k_subset,Old_under+New_under,"0,3",0.8028,0.1629,0.4983
O4 + N12,split_4+12,2models,k_subset,Old_under+New_over,"0,4",0.7548,0.1279,0.4355
O4 + N12,split_4+12,2models,k_subset,Old_under+New_hybrid,"0,5",0.8097,0.1775,0.4913
O4 + N12,split_4+12,2models,k_subset,Old_over+New_under,"1,3",0.7935,0.1537,0.4983
O4 + N12,split_4+12,2models,k_subset,Old_over+New_over,"1,4",0.7398,0.1082,0.5157
O4 + N12,split_4+12,2models,k_subset,Old_over+New_hybrid,"1,5",0.7918,0.1593,0.4739
O4 + N12,split_4+12,2models,k_subset,Old_hybrid+New_under,"2,3",0.7960,0.1379,0.4599
O4 + N12,split_4+12,2models,k_subset,Old_hybrid+New_over,"2,4",0.7453,0.1154,0.4390
O4 + N12,split_4+12,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.7945,0.1448,0.5401
O4 + N12,split_4+12,2models,k_subsets_mean,,,0.7809,0.1431,0.4835
O4 + N12,split_4+12,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.7643,0.1147,0.3868
O4 + N12,split_4+12,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.7182,0.0977,0.3310
O4 + N12,split_4+12,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.7696,0.1255,0.5296
O4 + N12,split_4+12,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.7668,0.1109,0.4390
O4 + N12,split_4+12,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.7229,0.1005,0.3902
O4 + N12,split_4+12,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.7709,0.1144,0.4983
O4 + N12,split_4+12,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.8259,0.1842,0.4111
O4 + N12,split_4+12,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.8465,0.2014,0.5540
O4 + N12,split_4+12,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.8172,0.1708,0.4948
