dataset,ensemble,type,subset,subset_indices,Recall
O6 + N10,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.6307
O6 + N10,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.5749
O6 + N10,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.6132
O6 + N10,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.5993
O6 + N10,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.4634
O6 + N10,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.5784
O6 + N10,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.5540
O6 + N10,3models,k_subsets_mean,,,0.5316
O6 + N10,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.4564
O6 + N10,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.4913
O6 + N10,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.6551
O6 + N10,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.4878
O6 + N10,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.5366
O6 + N10,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.5017
O6 + N10,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.4425
O6 + N10,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.5052
O6 + N10,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.5157
O6 + N10,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.5645
O6 + N10,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.4634
O6 + N10,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.5122
O6 + N10,4models,k_subset,Old_over+Old_hybrid+New_over+New_hybrid,"1,2,4,5",0.4878
O6 + N10,4models,k_subset,Old_over+New_under+New_over+New_hybrid,"1,3,4,5",0.5645
O6 + N10,4models,k_subset,Old_hybrid+New_under+New_over+New_hybrid,"2,3,4,5",0.6098
O6 + N10,4models,k_subsets_mean,,,0.5196
O6 + N10,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over,"0,1,2,3,4",0.4321
O6 + N10,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_hybrid,"0,1,2,3,5",0.4808
O6 + N10,5models,k_subset,Old_under+Old_over+Old_hybrid+New_over+New_hybrid,"0,1,2,4,5",0.5366
O6 + N10,5models,k_subset,Old_under+Old_over+New_under+New_over+New_hybrid,"0,1,3,4,5",0.5575
O6 + N10,5models,k_subset,Old_under+Old_hybrid+New_under+New_over+New_hybrid,"0,2,3,4,5",0.5679
O6 + N10,5models,k_subset,Old_over+Old_hybrid+New_under+New_over+New_hybrid,"1,2,3,4,5",0.5819
O6 + N10,5models,k_subsets_mean,,,0.5261
O6 + N10,6models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over+New_hybrid,"0,1,2,3,4,5",0.4948
O6 + N10,6models,k_subsets_mean,,,0.4948
O6 + N10,New,under,,,0.6028
O6 + N10,New,over,,,0.5226
O6 + N10,New,hybrid,,,0.5854
O6 + N10,Old,under,,,0.1812
O6 + N10,Old,over,,,0.2997
O6 + N10,Old,hybrid,,,0.2091
O6 + N10,OldNew,under,,,0.4843
O6 + N10,OldNew,over,,,0.4669
O6 + N10,OldNew,hybrid,,,0.6167
O7 + N9,2models,k_subset,Old_under+New_under,"0,3",0.5122
O7 + N9,2models,k_subset,Old_under+New_over,"0,4",0.5261
O7 + N9,2models,k_subset,Old_under+New_hybrid,"0,5",0.6341
O7 + N9,2models,k_subset,Old_over+New_under,"1,3",0.5261
O7 + N9,2models,k_subset,Old_over+New_over,"1,4",0.4704
O7 + N9,2models,k_subset,Old_over+New_hybrid,"1,5",0.5854
O7 + N9,2models,k_subset,Old_hybrid+New_under,"2,3",0.3972
O7 + N9,2models,k_subset,Old_hybrid+New_over,"2,4",0.4843
O7 + N9,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.4390
O7 + N9,2models,k_subsets_mean,,,0.5083
O7 + N9,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.4704
O7 + N9,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.3972
O7 + N9,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.5505
O7 + N9,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.3310
O7 + N9,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.3101
O7 + N9,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.3728
O7 + N9,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.5192
O7 + N9,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.6202
O7 + N9,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.5993
O7 + N9,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.4321
O7 + N9,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.4564
O7 + N9,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.5749
O7 + N9,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.5436
O7 + N9,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.6272
O7 + N9,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.5784
O7 + N9,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.5087
O7 + N9,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.5470
O7 + N9,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.5610
O7 + N9,3models,k_subsets_mean,,,0.5000
O7 + N9,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.4669
O7 + N9,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.4634
O7 + N9,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.3554
O7 + N9,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.5226
O7 + N9,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.5122
O7 + N9,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.5889
O7 + N9,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.4181
O7 + N9,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.4599
O7 + N9,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.4808
O7 + N9,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.6446
O7 + N9,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.4948
O7 + N9,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.4564
O7 + N9,4models,k_subset,Old_over+Old_hybrid+New_over+New_hybrid,"1,2,4,5",0.4704
O7 + N9,4models,k_subset,Old_over+New_under+New_over+New_hybrid,"1,3,4,5",0.6098
O7 + N9,4models,k_subset,Old_hybrid+New_under+New_over+New_hybrid,"2,3,4,5",0.5784
O7 + N9,4models,k_subsets_mean,,,0.5015
O7 + N9,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over,"0,1,2,3,4",0.4355
O7 + N9,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_hybrid,"0,1,2,3,5",0.4739
O7 + N9,5models,k_subset,Old_under+Old_over+Old_hybrid+New_over+New_hybrid,"0,1,2,4,5",0.4878
O7 + N9,5models,k_subset,Old_under+Old_over+New_under+New_over+New_hybrid,"0,1,3,4,5",0.6237
O7 + N9,5models,k_subset,Old_under+Old_hybrid+New_under+New_over+New_hybrid,"0,2,3,4,5",0.5017
O7 + N9,5models,k_subset,Old_over+Old_hybrid+New_under+New_over+New_hybrid,"1,2,3,4,5",0.4948
O7 + N9,5models,k_subsets_mean,,,0.5029
O7 + N9,6models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over+New_hybrid,"0,1,2,3,4,5",0.5192
O7 + N9,6models,k_subsets_mean,,,0.5192
O7 + N9,New,under,,,0.5819
O7 + N9,New,over,,,0.4948
O7 + N9,New,hybrid,,,0.5958
O7 + N9,Old,under,,,0.1638
O7 + N9,Old,over,,,0.2544
O7 + N9,Old,hybrid,,,0.2613
O7 + N9,OldNew,under,,,0.5122
O7 + N9,OldNew,over,,,0.4704
O7 + N9,OldNew,hybrid,,,0.4390
O8 + N8,2models,k_subset,Old_under+New_under,"0,3",0.4599
O8 + N8,2models,k_subset,Old_under+New_over,"0,4",0.5261
O8 + N8,2models,k_subset,Old_under+New_hybrid,"0,5",0.6028
O8 + N8,2models,k_subset,Old_over+New_under,"1,3",0.5017
O8 + N8,2models,k_subset,Old_over+New_over,"1,4",0.4808
O8 + N8,2models,k_subset,Old_over+New_hybrid,"1,5",0.5645
O8 + N8,2models,k_subset,Old_hybrid+New_under,"2,3",0.5401
O8 + N8,2models,k_subset,Old_hybrid+New_over,"2,4",0.4425
O8 + N8,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.5122
O8 + N8,2models,k_subsets_mean,,,0.5145
O8 + N8,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.5157
O8 + N8,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.4669
O8 + N8,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.5854
O8 + N8,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.3659
O8 + N8,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.4007
O8 + N8,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.3972
O8 + N8,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.6132
O8 + N8,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.6760
O8 + N8,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.5854
O8 + N8,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.4739
O8 + N8,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.4878
O8 + N8,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.4843
O8 + N8,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.5784
O8 + N8,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.6272
O8 + N8,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.6237
O8 + N8,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.5331
O8 + N8,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.5784
O8 + N8,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.5993
O8 + N8,3models,k_subsets_mean,,,0.5329
O8 + N8,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.3519
O8 + N8,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.3937
O8 + N8,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.3833
O8 + N8,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.5714
O8 + N8,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.5296
O8 + N8,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.6028
O8 + N8,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.4739
O8 + N8,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.5192
O8 + N8,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.5645
O8 + N8,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.6481
O8 + N8,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.4913
O8 + N8,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.5331
O8 + N8,4models,k_subset,Old_over+Old_hybrid+New_over+New_hybrid,"1,2,4,5",0.4878
O8 + N8,4models,k_subset,Old_over+New_under+New_over+New_hybrid,"1,3,4,5",0.6516
O8 + N8,4models,k_subset,Old_hybrid+New_under+New_over+New_hybrid,"2,3,4,5",0.6272
O8 + N8,4models,k_subsets_mean,,,0.5220
O8 + N8,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over,"0,1,2,3,4",0.4774
O8 + N8,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_hybrid,"0,1,2,3,5",0.4808
O8 + N8,5models,k_subset,Old_under+Old_over+Old_hybrid+New_over+New_hybrid,"0,1,2,4,5",0.4704
O8 + N8,5models,k_subset,Old_under+Old_over+New_under+New_over+New_hybrid,"0,1,3,4,5",0.6237
O8 + N8,5models,k_subset,Old_under+Old_hybrid+New_under+New_over+New_hybrid,"0,2,3,4,5",0.5889
O8 + N8,5models,k_subset,Old_over+Old_hybrid+New_under+New_over+New_hybrid,"1,2,3,4,5",0.5784
O8 + N8,5models,k_subsets_mean,,,0.5366
O8 + N8,6models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over+New_hybrid,"0,1,2,3,4,5",0.5366
O8 + N8,6models,k_subsets_mean,,,0.5366
O8 + N8,New,under,,,0.5679
O8 + N8,New,over,,,0.5540
O8 + N8,New,hybrid,,,0.6132
O8 + N8,Old,under,,,0.3310
O8 + N8,Old,over,,,0.2265
O8 + N8,Old,hybrid,,,0.3345
O8 + N8,OldNew,under,,,0.4599
O8 + N8,OldNew,over,,,0.4808
O8 + N8,OldNew,hybrid,,,0.5122
O9 + N7,2models,k_subset,Old_under+New_under,"0,3",0.5122
O9 + N7,2models,k_subset,Old_under+New_over,"0,4",0.4425
O9 + N7,2models,k_subset,Old_under+New_hybrid,"0,5",0.6237
O9 + N7,2models,k_subset,Old_over+New_under,"1,3",0.4739
O9 + N7,2models,k_subset,Old_over+New_over,"1,4",0.4355
O9 + N7,2models,k_subset,Old_over+New_hybrid,"1,5",0.5610
O9 + N7,2models,k_subset,Old_hybrid+New_under,"2,3",0.4808
O9 + N7,2models,k_subset,Old_hybrid+New_over,"2,4",0.4669
O9 + N7,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.5575
O9 + N7,2models,k_subsets_mean,,,0.5060
O9 + N7,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.4355
O9 + N7,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.4564
O9 + N7,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.4913
O9 + N7,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.3833
O9 + N7,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.3728
O9 + N7,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.4704
O9 + N7,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.5540
O9 + N7,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.6620
O9 + N7,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.6446
O9 + N7,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.5017
O9 + N7,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.4007
O9 + N7,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.4007
O9 + N7,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.5540
O9 + N7,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.6098
O9 + N7,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.6272
O9 + N7,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.5505
O9 + N7,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.5958
O9 + N7,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.5749
O9 + N7,3models,k_subsets_mean,,,0.5159
O9 + N7,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.4007
O9 + N7,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.4321
O9 + N7,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.4355
O9 + N7,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.5122
O9 + N7,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.5470
O9 + N7,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.5610
O9 + N7,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.4564
O9 + N7,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.5261
O9 + N7,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.5122
O9 + N7,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.6864
O9 + N7,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.4425
O9 + N7,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.5296
O9 + N7,4models,k_subset,Old_over+Old_hybrid+New_over+New_hybrid,"1,2,4,5",0.5087
O9 + N7,4models,k_subset,Old_over+New_under+New_over+New_hybrid,"1,3,4,5",0.6551
O9 + N7,4models,k_subset,Old_hybrid+New_under+New_over+New_hybrid,"2,3,4,5",0.6167
O9 + N7,4models,k_subsets_mean,,,0.5215
O9 + N7,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over,"0,1,2,3,4",0.3937
O9 + N7,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_hybrid,"0,1,2,3,5",0.5017
O9 + N7,5models,k_subset,Old_under+Old_over+Old_hybrid+New_over+New_hybrid,"0,1,2,4,5",0.4390
O9 + N7,5models,k_subset,Old_under+Old_over+New_under+New_over+New_hybrid,"0,1,3,4,5",0.5958
O9 + N7,5models,k_subset,Old_under+Old_hybrid+New_under+New_over+New_hybrid,"0,2,3,4,5",0.6167
O9 + N7,5models,k_subset,Old_over+Old_hybrid+New_under+New_over+New_hybrid,"1,2,3,4,5",0.5436
O9 + N7,5models,k_subsets_mean,,,0.5151
O9 + N7,6models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over+New_hybrid,"0,1,2,3,4,5",0.5087
O9 + N7,6models,k_subsets_mean,,,0.5087
O9 + N7,New,under,,,0.6132
O9 + N7,New,over,,,0.5226
O9 + N7,New,hybrid,,,0.5993
O9 + N7,Old,under,,,0.3031
O9 + N7,Old,over,,,0.3206
O9 + N7,Old,hybrid,,,0.3937
O9 + N7,OldNew,under,,,0.5122
O9 + N7,OldNew,over,,,0.4355
O9 + N7,OldNew,hybrid,,,0.5575
O10 + N6,2models,k_subset,Old_under+New_under,"0,3",0.4774
O10 + N6,2models,k_subset,Old_under+New_over,"0,4",0.5157
O10 + N6,2models,k_subset,Old_under+New_hybrid,"0,5",0.6272
O10 + N6,2models,k_subset,Old_over+New_under,"1,3",0.4843
O10 + N6,2models,k_subset,Old_over+New_over,"1,4",0.5261
O10 + N6,2models,k_subset,Old_over+New_hybrid,"1,5",0.5575
O10 + N6,2models,k_subset,Old_hybrid+New_under,"2,3",0.4739
O10 + N6,2models,k_subset,Old_hybrid+New_over,"2,4",0.4843
O10 + N6,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.5679
O10 + N6,2models,k_subsets_mean,,,0.5238
O10 + N6,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.4669
O10 + N6,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.4321
O10 + N6,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.4948
O10 + N6,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.4321
O10 + N6,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.4321
O10 + N6,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.4739
O10 + N6,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.5923
O10 + N6,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.6307
O10 + N6,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.5749
O10 + N6,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.4878
O10 + N6,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.4425
O10 + N6,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.4843
O10 + N6,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.5679
O10 + N6,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.6028
O10 + N6,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.5784
O10 + N6,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.5958
O10 + N6,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.6237
O10 + N6,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.6028
O10 + N6,3models,k_subsets_mean,,,0.5286
O10 + N6,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.4739
O10 + N6,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.4599
O10 + N6,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.5226
O10 + N6,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.4355
O10 + N6,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.5610
O10 + N6,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.5296
O10 + N6,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.4983
O10 + N6,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.5470
O10 + N6,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.5679
O10 + N6,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.6272
O10 + N6,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.5087
O10 + N6,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.5470
O10 + N6,4models,k_subset,Old_over+Old_hybrid+New_over+New_hybrid,"1,2,4,5",0.5401
O10 + N6,4models,k_subset,Old_over+New_under+New_over+New_hybrid,"1,3,4,5",0.6237
O10 + N6,4models,k_subset,Old_hybrid+New_under+New_over+New_hybrid,"2,3,4,5",0.6376
O10 + N6,4models,k_subsets_mean,,,0.5387
O10 + N6,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over,"0,1,2,3,4",0.4983
O10 + N6,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_hybrid,"0,1,2,3,5",0.5192
O10 + N6,5models,k_subset,Old_under+Old_over+Old_hybrid+New_over+New_hybrid,"0,1,2,4,5",0.5261
O10 + N6,5models,k_subset,Old_under+Old_over+New_under+New_over+New_hybrid,"0,1,3,4,5",0.5401
O10 + N6,5models,k_subset,Old_under+Old_hybrid+New_under+New_over+New_hybrid,"0,2,3,4,5",0.5575
O10 + N6,5models,k_subset,Old_over+Old_hybrid+New_under+New_over+New_hybrid,"1,2,3,4,5",0.6132
O10 + N6,5models,k_subsets_mean,,,0.5424
O10 + N6,6models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over+New_hybrid,"0,1,2,3,4,5",0.5854
O10 + N6,6models,k_subsets_mean,,,0.5854
O10 + N6,New,under,,,0.5714
O10 + N6,New,over,,,0.5261
O10 + N6,New,hybrid,,,0.5679
O10 + N6,Old,under,,,0.3240
O10 + N6,Old,over,,,0.3659
O10 + N6,Old,hybrid,,,0.3589
O10 + N6,OldNew,under,,,0.4774
O10 + N6,OldNew,over,,,0.5261
O10 + N6,OldNew,hybrid,,,0.5679
O11 + N5,2models,k_subset,Old_under+New_under,"0,3",0.4948
O11 + N5,2models,k_subset,Old_under+New_over,"0,4",0.4599
O11 + N5,2models,k_subset,Old_under+New_hybrid,"0,5",0.5505
O11 + N5,2models,k_subset,Old_over+New_under,"1,3",0.4843
O11 + N5,2models,k_subset,Old_over+New_over,"1,4",0.4808
O11 + N5,2models,k_subset,Old_over+New_hybrid,"1,5",0.5331
O11 + N5,2models,k_subset,Old_hybrid+New_under,"2,3",0.5401
O11 + N5,2models,k_subset,Old_hybrid+New_over,"2,4",0.5296
O11 + N5,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.5993
O11 + N5,2models,k_subsets_mean,,,0.5192
O11 + N5,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.4216
O11 + N5,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.4321
O11 + N5,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.4077
O11 + N5,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.4321
O11 + N5,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.4251
O11 + N5,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.4599
O11 + N5,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.5540
O11 + N5,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.5889
O11 + N5,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.6341
O11 + N5,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.4425
O11 + N5,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.4007
O11 + N5,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.4146
O11 + N5,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.5784
O11 + N5,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.5645
O11 + N5,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.6655
O11 + N5,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.6098
O11 + N5,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.6132
O11 + N5,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.6028
O11 + N5,3models,k_subsets_mean,,,0.5137
O11 + N5,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.4669
O11 + N5,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.4739
O11 + N5,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.4181
O11 + N5,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.5017
O11 + N5,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.4913
O11 + N5,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.5296
O11 + N5,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.4564
O11 + N5,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.5366
O11 + N5,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.5192
O11 + N5,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.6481
O11 + N5,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.4634
O11 + N5,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.4774
