dataset,Old_under,Old_over,Old_hybrid,New_under,New_over,New_hybrid,OldNew_under,OldNew_over,OldNew_hybrid,2models_subsets_mean,3models_subsets_mean,4models_subsets_mean,5models_subsets_mean,6models_subsets_mean
O1 + N15,0.0530,0.0554,0.0593,0.2435,0.1836,0.1767,0.2356,0.1441,0.2045,0.1962,0.1836,0.1891,0.1963,0.2064
O2 + N14,0.0524,0.0603,0.0730,0.2443,0.1870,0.1902,0.1706,0.1383,0.1619,0.1647,0.1706,0.1665,0.1774,0.1774
O3 + N13,0.0604,0.0651,0.0682,0.2297,0.1833,0.1830,0.2066,0.1505,0.1610,0.1755,0.1880,0.1831,0.1934,0.1939
O4 + N12,0.0805,0.0693,0.0712,0.2483,0.1938,0.1853,0.2179,0.1382,0.1699,0.1806,0.1873,0.1883,0.1877,0.1817
O5 + N11,0.0819,0.0697,0.0906,0.2714,0.1949,0.2400,0.2306,0.1436,0.1642,0.1801,0.1877,0.1882,0.1917,0.1989
O6 + N10,0.0863,0.0708,0.0729,0.2502,0.1926,0.2140,0.2354,0.1584,0.1581,0.1793,0.1794,0.1882,0.1875,0.1947
O7 + N9,0.0981,0.0897,0.0946,0.2506,0.1888,0.2116,0.2032,0.1651,0.1789,0.1786,0.1818,0.1895,0.1936,0.2037
O8 + N8,0.1046,0.0863,0.1075,0.2587,0.1991,0.1966,0.2159,0.1629,0.1853,0.1820,0.1765,0.1803,0.1829,0.1919
O9 + N7,0.1191,0.1022,0.1125,0.2532,0.1800,0.2094,0.2400,0.1762,0.1851,0.1941,0.1855,0.1895,0.1965,0.2149
O10 + N6,0.1602,0.1317,0.1397,0.2535,0.1760,0.2114,0.2314,0.1700,0.1878,0.1932,0.1953,0.1930,0.1967,0.1890
O11 + N5,0.1591,0.1136,0.1487,0.2449,0.1690,0.2040,0.2161,0.1661,0.1713,0.1883,0.1904,0.1905,0.2018,0.2167
O12 + N4,0.1737,0.1221,0.1600,0.2233,0.1930,0.1926,0.2193,0.1825,0.2031,0.1944,0.1967,0.2021,0.2095,0.2135
O13 + N3,0.1812,0.1530,0.1594,0.2209,0.1743,0.1880,0.2365,0.1963,0.1797,0.2024,0.1997,0.2095,0.2053,0.2440
O14 + N2,0.1932,0.1639,0.1600,0.1703,0.1563,0.1808,0.2359,0.1876,0.1951,0.2006,0.1988,0.1984,0.2023,0.2161
O15 + N1,0.2178,0.1799,0.1818,0.1561,0.1486,0.1373,0.2328,0.1703,0.1862,0.1991,0.1971,0.1940,0.2113,0.1965
avg,0.1214,0.1022,0.1133,0.2346,0.1814,0.1947,0.2219,0.1633,0.1795,0.1873,0.1879,0.1900,0.1956,0.2026
