dataset,Old_under,Old_over,Old_hybrid,New_under,New_over,New_hybrid,Retrain_under,Retrain_over,Retrain_hybrid
O1 + N7,0.2045,0.2101,0.2150,0.2378,0.2512,0.2545,0.2272,0.2424,0.2427
O2 + N6,0.2066,0.2179,0.2293,0.2352,0.2457,0.2462,0.2212,0.2422,0.2485
O3 + N5,0.2192,0.2307,0.2319,0.2331,0.2413,0.2462,0.2339,0.2484,0.2467
O4 + N4,0.2260,0.2362,0.2399,0.2321,0.2355,0.2456,0.2390,0.2492,0.2495
O5 + N3,0.2298,0.2450,0.2492,0.2301,0.2334,0.2424,0.2365,0.2531,0.2575
O6 + N2,0.2294,0.2443,0.2546,0.2166,0.2278,0.2364,0.2377,0.2472,0.2593
O7 + N1,0.2332,0.2445,0.2538,0.2151,0.2242,0.2429,0.2341,0.2514,0.2536
avg,0.2212,0.2327,0.2391,0.2286,0.2370,0.2449,0.2328,0.2477,0.2511
