dataset,Old_under,Old_over,Old_hybrid,New_under,New_over,New_hybrid,Retrain_under,Retrain_over,Retrain_hybrid
O1 + N7,0.5670,0.5794,0.5922,0.6256,0.6461,0.6543,0.6130,0.6328,0.6394
O2 + N6,0.5672,0.5973,0.6150,0.6224,0.6419,0.6512,0.6116,0.6381,0.6454
O3 + N5,0.5944,0.6153,0.6277,0.6186,0.6325,0.6473,0.6237,0.6395,0.6492
O4 + N4,0.6072,0.6220,0.6314,0.6151,0.6280,0.6449,0.6290,0.6453,0.6525
O5 + N3,0.6101,0.6349,0.6417,0.6069,0.6255,0.6389,0.6254,0.6476,0.6540
O6 + N2,0.6226,0.6337,0.6515,0.5956,0.6144,0.6347,0.6270,0.6445,0.6560
O7 + N1,0.6224,0.6401,0.6505,0.5932,0.6094,0.6295,0.6262,0.6429,0.6510
avg,0.5987,0.6175,0.6300,0.6111,0.6283,0.6430,0.6223,0.6415,0.6496
