dataset_name,split_id,old_window,new_window,test_window,method,train_scope,best_ensemble_size,best_subset,AUC,F1,Recall
Medical_UCI,split_1+7,1999~1999,2000~2006,2007~2008,StaticEnsemble,Old/New pools + static soft voting,1model,New_hybrid,0.6543,0.2545,0.5251
Medical_UCI,split_2+6,1999~2000,2001~2006,2007~2008,StaticEnsemble,Old/New pools + static soft voting,1model,New_hybrid,0.6512,0.2462,0.5764
Medical_UCI,split_3+5,1999~2001,2002~2006,2007~2008,StaticEnsemble,Old/New pools + static soft voting,1model,Retrain_hybrid,0.6492,0.2467,0.4222
Medical_UCI,split_4+4,1999~2002,2003~2006,2007~2008,StaticEnsemble,Old/New pools + static soft voting,1model,Retrain_hybrid,0.6525,0.2495,0.5021
Medical_UCI,split_5+3,1999~2003,2004~2006,2007~2008,StaticEnsemble,Old/New pools + static soft voting,1model,Retrain_hybrid,0.6540,0.2575,0.3839
Medical_UCI,split_6+2,1999~2004,2005~2006,2007~2008,StaticEnsemble,Old/New pools + static soft voting,1model,Retrain_hybrid,0.6560,0.2593,0.4928
Medical_UCI,split_7+1,1999~2005,2006~2006,2007~2008,StaticEnsemble,Old/New pools + static soft voting,1model,Retrain_hybrid,0.6510,0.2536,0.5598
