Method,Ratio,K,AUC,F1,AUC_Diff,F1_Diff
kbest_f,0.2,2.0,0.5263199570511577,0.06463115317203556,-0.05581122108928153,0.06463115317203556
kbest_f,0.5,6.0,0.5416773649649413,0.051490514905149054,-0.040453813175497975,0.051490514905149054
kbest_f,0.8,9.0,0.5811863818817709,0.0,-0.000944796258668427,0.0
kbest_chi2,0.2,2.0,0.5348218142073358,0.049568663430049564,-0.04730936393310348,0.049568663430049564
kbest_chi2,0.5,6.0,0.5408179227882316,0.05128205128205129,-0.041313255352207645,0.05128205128205129
kbest_chi2,0.8,9.0,0.6009327733152201,0.0,0.018801595174780823,0.0
,,,,,,
,,,,,,
,,,,,,
