combination,AUC_no_fs,AUC_with_fs,AUC_diff,F1_no_fs,F1_with_fs,F1_diff,GMean_no_fs,GMean_with_fs,GMean_diff
ensemble_old_3,0.5455574499007798,0.5366206433941697,-0.008936806506610107,0.14774774774774774,0.15384615384615385,0.006098406098406117,0.5495005596289789,0.5555957701175309,0.006095210488551994
ensemble_new_3,0.5942312529696191,0.5352441376226278,-0.0589871153469913,0.0,0.0,0.0,0.0,0.0,0.0
ensemble_all_6,0.5454526398166522,0.5364739092763912,-0.008978730540260993,0.0,0.0,0.0,0.0,0.0,0.0
ensemble_2_old_hybrid_new_hybrid,0.5452709690041645,0.5418611476005478,-0.003409821403616675,0.0,0.034782608695652174,0.034782608695652174,0.0,0.1610496884570113,0.1610496884570113
ensemble_3_type_a,0.5346502138125716,0.5192571061237038,-0.015393107688867813,0.14647887323943662,0.07633587786259542,-0.0701429953768412,0.5086248489629538,0.3320545263991955,-0.17657032256375826
ensemble_3_type_b,0.5483244361217474,0.5432027166773806,-0.00512171944436679,0.0,0.0,0.0,0.0,0.0,0.0
ensemble_4,0.5340912266972246,0.5187190810251824,-0.015372145672042259,0.0,0.0,0.0,0.0,0.0,0.0
ensemble_5,0.5454246904608848,0.5365926940384024,-0.008831996422482447,0.14730878186968838,0.07692307692307693,-0.07038570494661145,0.5093387087513952,0.33247511494827325,-0.17686359380312194
