,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
ensemble_old_3_no_fs,0.7286407118165457,0.255307994757536,0.6224359727965544,0.458137347130762,0.1769622093023256,0.1543441226575809,0.541862652869238
ensemble_new_3_no_fs,0.6545163394398227,0.18793503480278423,0.5118506170893924,0.3047977422389464,0.13584905660377358,0.140442930153322,0.6952022577610536
ensemble_all_6_no_fs,0.7149531155596084,0.2522355843354918,0.5816585870345546,0.3847601128880527,0.18761467889908257,0.12068143100511074,0.6152398871119473
ensemble_pair_hy_no_fs,0.7046843413501372,0.24719101123595505,0.5908896946039004,0.40357478833490124,0.17815614617940198,0.13485519591141398,0.5964252116650988
ensemble_old_3_fs,0.7297645921911085,0.2387332521315469,0.6555191771951296,0.5531514581373471,0.15221330572094227,0.2231686541737649,0.4468485418626529
ensemble_new_3_fs,0.6515880451488105,0.19030108021144565,0.5596337381242743,0.3894637817497648,0.1259124087591241,0.19584327086882453,0.6105362182502352
ensemble_all_6_fs,0.7186931012322492,0.2406084351233003,0.6315909643204078,0.49106302916274697,0.15934065934065933,0.18766609880749574,0.5089369708372531
ensemble_pair_hy_fs,0.7109330572565511,0.23592017738359203,0.6332916907391156,0.5004703668861712,0.15433710472874965,0.19863713798977853,0.4995296331138288
