,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
no_fs,0.5942312529696191,0.0,0.0,0.0,0.0,0.0,1.0
kbest_f_r20,0.5070013136197211,0.08080808080808081,0.3560593739261721,0.16216216216216217,0.053811659192825115,0.21820062047569805,0.8378378378378378
kbest_f_r50,0.5352441376226278,0.0,0.0,0.0,0.0,0.0,1.0
kbest_f_r80,0.6317113390536349,0.0,0.0,0.0,0.0,0.0,1.0
kbest_chi2_r20,0.5130243997875849,0.07920792079207921,0.35464362528187793,0.16216216216216217,0.05240174672489083,0.22440537745604963,0.8378378378378378
kbest_chi2_r50,0.4874158025657509,0.0,0.0,0.0,0.0,0.0,1.0
kbest_chi2_r80,0.654182621090584,0.0,0.0,0.0,0.0,0.0,1.0
lasso_r20,0.5608806842002292,0.0,0.0,0.0,0.0,0.0,1.0
lasso_r50,0.5608806842002292,0.0,0.0,0.0,0.0,0.0,1.0
lasso_r80,0.5608806842002292,0.0,0.0,0.0,0.0,0.0,1.0
