Method,Ratio,K,AUC,F1,AUC_Diff,F1_Diff
kbest_f,0.2,3,0.6141591397720685,0.15596015115080727,-0.05230849309469643,-0.031090208561422944
kbest_f,0.5,9,0.6569355271818598,0.21411042944785277,-0.009532105684905146,0.027060069735622555
kbest_f,0.8,15,0.6652274152627922,0.1920326864147089,-0.0012402176039727486,0.004982326702478668
kbest_chi2,0.2,3,0.6076241875126501,0.1345875542691751,-0.05884344535411479,-0.05246280544305512
kbest_chi2,0.5,9,0.6602329503604163,0.20965262834306794,-0.006234682506348621,0.022602268630837724
kbest_chi2,0.8,15,0.6620478772686841,0.16660630206446939,-0.004419755598080832,-0.020444057647760833
lasso,0.2,3,0.664514889906123,0.19812583668005354,-0.0019527429606419622,0.011075476967823322
lasso,0.5,9,0.664514889906123,0.19812583668005354,-0.0019527429606419622,0.011075476967823322
lasso,0.8,15,0.664514889906123,0.19812583668005354,-0.0019527429606419622,0.011075476967823322
