,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error,fs_method,n_features,dataset
ensemble_old_3,0.8086293214507206,0.1327088212334114,0.6988460776231505,0.5923344947735192,0.07472527472527472,0.17548978741142143,0.4076655052264808,none,19,bankruptcy
ensemble_new_3,0.8693349290427341,0.2393574297188755,0.6958080792667377,0.519163763066202,0.15553235908141963,0.06744476865360567,0.4808362369337979,none,19,bankruptcy
ensemble_all_6,0.8574914344391463,0.21600520494469747,0.7253460450299981,0.578397212543554,0.1328,0.09037098791162984,0.42160278745644597,none,19,bankruptcy
finetune_hybrid,0.8551745573431438,0.19358669833729217,0.7138041085824854,0.5679442508710801,0.11667859699355762,0.10287619841600668,0.43205574912891986,none,19,bankruptcy
ensemble_old_3,0.8086293214507206,0.1327088212334114,0.6988460776231505,0.5923344947735192,0.07472527472527472,0.17548978741142143,0.4076655052264808,kbest_f,19,bankruptcy
ensemble_new_3,0.8693349290427341,0.2393574297188755,0.6958080792667377,0.519163763066202,0.15553235908141963,0.06744476865360567,0.4808362369337979,kbest_f,19,bankruptcy
ensemble_all_6,0.8574914344391463,0.21600520494469747,0.7253460450299981,0.578397212543554,0.1328,0.09037098791162984,0.42160278745644597,kbest_f,19,bankruptcy
finetune_hybrid,0.8551745573431438,0.19358669833729217,0.7138041085824854,0.5679442508710801,0.11667859699355762,0.10287619841600668,0.43205574912891986,kbest_f,19,bankruptcy
ensemble_old_3,0.8086293214507206,0.1327088212334114,0.6988460776231505,0.5923344947735192,0.07472527472527472,0.17548978741142143,0.4076655052264808,mutual_info,19,bankruptcy
ensemble_new_3,0.8693320242319317,0.2393574297188755,0.6958080792667377,0.519163763066202,0.15553235908141963,0.06744476865360567,0.4808362369337979,mutual_info,19,bankruptcy
ensemble_all_6,0.8574902725148253,0.21600520494469747,0.7253460450299981,0.578397212543554,0.1328,0.09037098791162984,0.42160278745644597,mutual_info,19,bankruptcy
finetune_hybrid,0.8551745573431438,0.19358669833729217,0.7138041085824854,0.5679442508710801,0.11667859699355762,0.10287619841600668,0.43205574912891986,mutual_info,19,bankruptcy
ensemble_old_3,0.8086293214507206,0.1327088212334114,0.6988460776231505,0.5923344947735192,0.07472527472527472,0.17548978741142143,0.4076655052264808,shap,19,bankruptcy
ensemble_new_3,0.8693267955724872,0.2393574297188755,0.6958080792667377,0.519163763066202,0.15553235908141963,0.06744476865360567,0.4808362369337979,shap,19,bankruptcy
ensemble_all_6,0.8574902725148255,0.21600520494469747,0.7253460450299981,0.578397212543554,0.1328,0.09037098791162984,0.42160278745644597,shap,19,bankruptcy
finetune_hybrid,0.8551835622566313,0.19358669833729217,0.7138041085824854,0.5679442508710801,0.11667859699355762,0.10287619841600668,0.43205574912891986,shap,19,bankruptcy
ensemble_old_3,0.5159503412225933,0.12607449856733524,0.49724082604723546,0.6197183098591549,0.07017543859649122,0.6010309278350515,0.38028169014084506,none,12,stock
ensemble_new_3,0.6043487730506751,0.0,0.0,0.0,0.0,0.0,1.0,none,12,stock
ensemble_all_6,0.5124727747930885,0.0,0.0,0.0,0.0,0.006185567010309278,1.0,none,12,stock
finetune_hybrid,0.6134165819660229,0.0,0.0,0.0,0.0,0.0,1.0,none,12,stock
ensemble_old_3,0.5159503412225933,0.12607449856733524,0.49724082604723546,0.6197183098591549,0.07017543859649122,0.6010309278350515,0.38028169014084506,kbest_f,12,stock
ensemble_new_3,0.6043487730506751,0.0,0.0,0.0,0.0,0.0,1.0,kbest_f,12,stock
ensemble_all_6,0.5124727747930885,0.0,0.0,0.0,0.0,0.006185567010309278,1.0,kbest_f,12,stock
finetune_hybrid,0.6134165819660229,0.0,0.0,0.0,0.0,0.0,1.0,kbest_f,12,stock
ensemble_old_3,0.5147959924495427,0.1282051282051282,0.5009066848196901,0.6338028169014085,0.07131537242472266,0.6041237113402061,0.36619718309859156,mutual_info,12,stock
ensemble_new_3,0.6053506606650211,0.0,0.0,0.0,0.0,0.013402061855670102,1.0,mutual_info,12,stock
ensemble_all_6,0.5071874546246551,0.0,0.0,0.0,0.0,0.01752577319587629,1.0,mutual_info,12,stock
finetune_hybrid,0.6148976332220125,0.0,0.0,0.0,0.0,0.020618556701030927,1.0,mutual_info,12,stock
ensemble_old_3,0.5147959924495427,0.1282051282051282,0.5009066848196901,0.6338028169014085,0.07131537242472266,0.6041237113402061,0.36619718309859156,shap,12,stock
ensemble_new_3,0.6074415565558299,0.0,0.0,0.0,0.0,0.004123711340206186,1.0,shap,12,stock
ensemble_all_6,0.5096703934949905,0.0,0.0,0.0,0.0,0.01134020618556701,1.0,shap,12,stock
finetune_hybrid,0.623043415129955,0.0,0.0,0.0,0.0,0.015463917525773196,1.0,shap,12,stock
ensemble_old_3,0.6509328343960041,0.18576051779935276,0.3575048125401071,0.1324411628980157,0.31094257854821233,0.034970033540440974,0.8675588371019843,none,19,medical
ensemble_new_3,0.6664676328667649,0.18705035971223022,0.35023221526504805,0.12598061836640517,0.363031914893617,0.026337493814262935,0.8740193816335948,none,19,medical
ensemble_all_6,0.6659935674677894,0.17409470752089137,0.3353813253221147,0.11536686663590216,0.3546099290780142,0.02501786990707648,0.8846331333640979,none,19,medical
finetune_hybrid,0.6649442091744969,0.18379850238257317,0.34808611783998517,0.12459621596677434,0.35019455252918286,0.027547149062517182,0.8754037840332256,none,19,medical
ensemble_old_3,0.6509328343960041,0.18576051779935276,0.3575048125401071,0.1324411628980157,0.31094257854821233,0.034970033540440974,0.8675588371019843,kbest_f,19,medical
ensemble_new_3,0.6664676328667649,0.18705035971223022,0.35023221526504805,0.12598061836640517,0.363031914893617,0.026337493814262935,0.8740193816335948,kbest_f,19,medical
ensemble_all_6,0.6659935674677894,0.17409470752089137,0.3353813253221147,0.11536686663590216,0.3546099290780142,0.02501786990707648,0.8846331333640979,kbest_f,19,medical
finetune_hybrid,0.6649442091744969,0.18379850238257317,0.34808611783998517,0.12459621596677434,0.35019455252918286,0.027547149062517182,0.8754037840332256,kbest_f,19,medical
ensemble_old_3,0.6509344329251949,0.18576051779935276,0.3575048125401071,0.1324411628980157,0.31094257854821233,0.034970033540440974,0.8675588371019843,mutual_info,19,medical
ensemble_new_3,0.6662153443628971,0.18995558592415443,0.35339497871048625,0.1282879556991232,0.36578947368421055,0.026502446802661242,0.8717120443008768,mutual_info,19,medical
ensemble_all_6,0.6660736207947233,0.17276210379658655,0.33402768700359775,0.11444393170281496,0.3522727272727273,0.025072854236542586,0.885556068297185,mutual_info,19,medical
finetune_hybrid,0.6649442852949345,0.18379850238257317,0.34808611783998517,0.12459621596677434,0.35019455252918286,0.027547149062517182,0.8754037840332256,mutual_info,19,medical
ensemble_old_3,0.6511472656688783,0.185473411154345,0.35693226966871255,0.1319796954314721,0.311886586695747,0.03469511189311046,0.868020304568528,shap,19,medical
ensemble_new_3,0.6672745475661265,0.18381344307270234,0.34699054248583167,0.12367328103368712,0.35781041388518026,0.02644746247319514,0.8763267189663129,shap,19,medical
ensemble_all_6,0.6664175709922672,0.17430555555555555,0.3359850810755305,0.11582833410244578,0.3520336605890603,0.025402760213339197,0.8841716658975542,shap,19,medical
finetune_hybrid,0.6649442091744969,0.18379850238257317,0.34808611783998517,0.12459621596677434,0.35019455252918286,0.027547149062517182,0.8754037840332256,shap,19,medical
