test_feature_year,test_event_year,validation_feature_year,validation_event_year,method,n_validation,n_validation_positive,n_test,n_test_positive,prevalence,f1_threshold_from_validation,fpr5_threshold_from_validation,validation_AUC,validation_PR_AUC,validation_F1,validation_G_Mean,validation_Recall,validation_Precision,validation_Balanced_Accuracy,validation_Cohen_Kappa,validation_Type1_Error,validation_Type2_Error,validation_Recall_at_5pctFPR,validation_Precision_at_5pctFPR,validation_Realized_FPR_at_5pctFPR,validation_Alerts_at_5pctFPR,AUC,PR_AUC,F1,G_Mean,Recall,Precision,Balanced_Accuracy,Cohen_Kappa,Type1_Error,Type2_Error,Recall_at_5pctFPR,Precision_at_5pctFPR,Realized_FPR_at_5pctFPR,Alerts_at_5pctFPR,seed,protocol_version,imbalance_method
2009,2010,2008,2009,Recent1y,3857,58,3743,23,0.00614480363345,0.12,0.0300222896039,0.803932069238,0.0711182944271,0.161764705882,0.431636852062,0.189655172414,0.141025641026,0.586009476178,0.147052205221,0.0176362200579,0.810344827586,0.293103448276,0.0867346938776,0.0471176625428,196,0.750058438523,0.0584232657431,0.153846153846,0.415625159278,0.173913043478,0.137931034483,0.583596306685,0.148006745921,0.00672043010753,0.826086956522,0.173913043478,0.0421052631579,0.0244623655914,95,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek
2009,2010,2008,2009,B_data_equal,3857,58,3743,23,0.00614480363345,0.14,0.0321357958019,0.829887175391,0.108927191924,0.228571428571,0.520643370458,0.275862068966,0.19512195122,0.629244538036,0.214738683578,0.0173729928929,0.724137931034,0.431034482759,0.116822429907,0.0497499341932,214,0.789399251987,0.0844617741085,0.08,0.293891368557,0.0869565217391,0.0740740740741,0.540118045816,0.073853734105,0.00672043010753,0.913043478261,0.260869565217,0.0576923076923,0.0263440860215,104,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek
2009,2010,2008,2009,B_model_FIFO3_equal,3857,58,3743,23,0.00614480363345,0.14,0.0467652864754,0.812278185729,0.0980439523746,0.220588235294,0.504313297688,0.258620689655,0.192307692308,0.621018689129,0.206908190819,0.0165833113977,0.741379310345,0.413793103448,0.121212121212,0.0458015267176,198,0.775292192613,0.0760964165462,0.1,0.294288787763,0.0869565217391,0.117647058824,0.541462131837,0.0952745437699,0.00403225806452,0.913043478261,0.173913043478,0.0625,0.0161290322581,64,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek
2010,2011,2009,2010,Recent1y,3743,23,3625,35,0.00965517241379,0.2,0.0104342680424,0.788113604488,0.11233356397,0.193548387097,0.360914764232,0.130434782609,0.375,0.564545348294,0.190982579,0.00134408602151,0.869565217391,0.304347826087,0.0760869565217,0.0228494623656,92,0.768643056108,0.0681713583582,0.05,0.168936657096,0.0285714285714,0.2,0.513728611222,0.0477013480816,0.00111420612813,0.971428571429,0.285714285714,0.10752688172,0.0231197771588,93,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek
2010,2011,2009,2010,B_data_equal,3743,23,3625,35,0.00965517241379,0.11,0.0325883105397,0.837575970079,0.0820942132491,0.16,0.415737627189,0.173913043478,0.148148148148,0.58386512389,0.154388192009,0.00618279569892,0.826086956522,0.347826086957,0.0909090909091,0.0215053763441,88,0.861352964584,0.110937613362,0.117647058824,0.292239456134,0.0857142857143,0.1875,0.541046557899,0.112269053903,0.00362116991643,0.914285714286,0.142857142857,0.0980392156863,0.0128133704735,51,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek
2010,2011,2009,2010,B_model_FIFO3_equal,3743,23,3625,35,0.00965517241379,0.2,0.0208801385015,0.792554932211,0.109829212245,0.1875,0.360866185624,0.130434782609,0.333333333333,0.564410939691,0.184681892059,0.00161290322581,0.869565217391,0.304347826087,0.0569105691057,0.0311827956989,123,0.872208515718,0.108505716247,0.102564102564,0.238979126038,0.0571428571429,0.5,0.528292877039,0.100783160282,0.000557103064067,0.942857142857,0.171428571429,0.0674157303371,0.0231197771588,89,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek
2011,2012,2010,2011,Recent1y,3625,35,3513,25,0.00711642470823,0.01,0.00246047414839,0.687751691206,0.0371229308987,0.0816326530612,0.335272249222,0.114285714286,0.0634920634921,0.548925586948,0.0700889294265,0.01643454039,0.885714285714,0.285714285714,0.054347826087,0.0484679665738,184,0.806857798165,0.137691635037,0.131578947368,0.444254865276,0.2,0.0980392156863,0.593405963303,0.123204683139,0.0131880733945,0.8,0.4,0.0515463917526,0.052752293578,194,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek
2011,2012,2010,2011,B_data_equal,3625,35,3513,25,0.00711642470823,0.06,0.00666876742616,0.780270592917,0.0493706534595,0.11320754717,0.292157745114,0.0857142857143,0.166666666667,0.540768006367,0.107353364944,0.0041782729805,0.914285714286,0.257142857143,0.0661764705882,0.0353760445682,136,0.880194954128,0.120925048483,0.130434782609,0.345515171801,0.12,0.142857142857,0.557419724771,0.124747738994,0.00516055045872,0.88,0.36,0.0576923076923,0.0421444954128,156,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek
2011,2012,2010,2011,B_model_FIFO3_equal,3625,35,3513,25,0.00711642470823,0.04,0.00712642306462,0.828842021488,0.0832118563401,0.117647058824,0.336693502941,0.114285714286,0.121212121212,0.553103859928,0.109300135141,0.00807799442897,0.885714285714,0.314285714286,0.0628571428571,0.0456824512535,175,0.868474770642,0.164227667631,0.171428571429,0.487151427958,0.24,0.133333333333,0.61440940367,0.16377739473,0.0111811926606,0.76,0.36,0.0523255813953,0.0467316513761,172,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek
2012,2013,2011,2012,Recent1y,3513,25,3485,26,0.00746054519369,0.4,0.00840008724481,0.867935779817,0.176616212784,0.214285714286,0.346410161514,0.12,1,0.56,0.213085710795,0,0.88,0.44,0.0753424657534,0.0387041284404,146,0.905475126204,0.15049169125,0,0,0,0,0.499855449552,-0.000552938549387,0.000289100896213,1,0.538461538462,0.0864197530864,0.0427869326395,162,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek
