test_feature_year,route,pool_action,model_id,train_start,train_end,train_years,n_train,n_positive_before,n_negative_before,n_positive_after,n_negative_after,imbalance_method,sampler,scale_pos_weight,seed,resolved_model_params,protocol_version
2012,B_data_new,,seed42_Bdata_new_2012,2010,2010,2010,3625,35,3590,35,3578,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2013,B_model,retained,seed42_M2009,2009,2009,2009,3743,23,3720,23,3710,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2013,B_model,retained,seed42_M2010,2010,2010,2010,3625,35,3590,35,3578,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2013,B_model,added,seed42_M2011,2011,2011,2011,3513,25,3488,25,3479,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2013,B_data_old,,seed42_Bdata_old_2013,2009,2010,"2009,2010",7368,58,7310,58,7287,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2013,B_data_new,,seed42_Bdata_new_2013,2011,2011,2011,3513,25,3488,25,3479,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2014,B_model,retained,seed42_M2010,2010,2010,2010,3625,35,3590,35,3578,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2014,B_model,retained,seed42_M2011,2011,2011,2011,3513,25,3488,25,3479,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2014,B_model,added,seed42_M2012,2012,2012,2012,3485,26,3459,26,3455,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2014,B_data_old,,seed42_Bdata_old_2014,2010,2011,"2010,2011",7138,60,7078,60,7059,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2014,B_data_new,,seed42_Bdata_new_2014,2012,2012,2012,3485,26,3459,26,3455,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2015,B_model,retained,seed42_M2011,2011,2011,2011,3513,25,3488,25,3479,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2015,B_model,retained,seed42_M2012,2012,2012,2012,3485,26,3459,26,3455,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2015,B_model,added,seed42_M2013,2013,2013,2013,3484,28,3456,28,3452,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2015,B_data_old,,seed42_Bdata_old_2015,2011,2012,"2011,2012",6998,51,6947,51,6939,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2015,B_data_new,,seed42_Bdata_new_2015,2013,2013,2013,3484,28,3456,28,3452,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2016,B_model,retained,seed42_M2012,2012,2012,2012,3485,26,3459,26,3455,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2016,B_model,retained,seed42_M2013,2013,2013,2013,3484,28,3456,28,3452,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2016,B_model,added,seed42_M2014,2014,2014,2014,3504,33,3471,33,3465,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2016,B_data_old,,seed42_Bdata_old_2016,2012,2013,"2012,2013",6969,54,6915,54,6908,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2016,B_data_new,,seed42_Bdata_new_2016,2014,2014,2014,3504,33,3471,33,3465,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2017,B_model,retained,seed42_M2013,2013,2013,2013,3484,28,3456,28,3452,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2017,B_model,retained,seed42_M2014,2014,2014,2014,3504,33,3471,33,3465,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2017,B_model,added,seed42_M2015,2015,2015,2015,3354,33,3321,33,3316,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2017,B_data_old,,seed42_Bdata_old_2017,2013,2014,"2013,2014",6988,61,6927,61,6920,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2017,B_data_new,,seed42_Bdata_new_2017,2015,2015,2015,3354,33,3321,33,3316,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2018,B_model,retained,seed42_M2014,2014,2014,2014,3504,33,3471,33,3465,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2018,B_model,retained,seed42_M2015,2015,2015,2015,3354,33,3321,33,3316,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2018,B_model,added,seed42_M2016,2016,2016,2016,3191,29,3162,29,3156,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2018,B_data_old,,seed42_Bdata_old_2018,2014,2015,"2014,2015",6858,66,6792,66,6779,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2018,B_data_new,,seed42_Bdata_new_2018,2016,2016,2016,3191,29,3162,29,3156,tomek,TomekLinks,,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
