old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.5288,0.5291,0.5817,0.5403,0.5450
2yr,0.5896,0.5948,0.5566,0.5910,0.5830
3yr,0.5948,0.5967,0.5434,0.5928,0.5819
4yr,0.5926,0.5968,0.5759,0.5415,0.5767
5yr,0.5925,0.5932,0.5736,0.5982,0.5894
6yr,0.5942,0.5914,0.5950,0.5948,0.5939
7yr,0.5940,0.5953,0.5938,0.5925,0.5939
avg,0.5838,0.5853,0.5743,0.5787,0.5805
