old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.6234,0.6241,0.6210,0.6232,0.6229
2yr,0.6340,0.6344,0.6289,0.6333,0.6326
3yr,0.6388,0.6392,0.6345,0.6384,0.6377
4yr,0.6386,0.6389,0.6330,0.6370,0.6369
5yr,0.6411,0.6414,0.6344,0.6403,0.6393
6yr,0.6425,0.6427,0.6361,0.6423,0.6409
7yr,0.6432,0.6433,0.6375,0.6416,0.6414
avg,0.6374,0.6377,0.6322,0.6366,0.6360
