new_years,none,undersampling,oversampling,hybrid,avg
7yr,0.2493,0.3136,0.3059,0.3812,0.3125
6yr,0.3359,0.3069,0.3418,0.3464,0.3327
5yr,0.2907,0.2968,0.3278,0.3334,0.3122
4yr,0.2727,0.2775,0.3003,0.3562,0.3017
3yr,0.2575,0.2608,0.3565,0.2574,0.2830
2yr,0.2523,0.2573,0.3593,0.2888,0.2894
1yr,0.0808,0.3134,0.1878,0.0564,0.1596
avg,0.2484,0.2895,0.3114,0.2886,0.2845
