new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.4599,0.4390,0.6063,0.4634,0.4922
14yr,0.4355,0.4564,0.5749,0.4634,0.4826
13yr,0.4321,0.4007,0.6376,0.4460,0.4791
12yr,0.4564,0.4355,0.5923,0.5192,0.5009
11yr,0.5436,0.5261,0.5854,0.4634,0.5296
10yr,0.5470,0.5645,0.5470,0.5192,0.5444
9yr,0.5052,0.6098,0.5436,0.4739,0.5331
8yr,0.6028,0.5993,0.5645,0.5401,0.5767
7yr,0.5540,0.6446,0.5610,0.6237,0.5958
6yr,0.6725,0.5784,0.6272,0.5854,0.6159
5yr,0.6272,0.6307,0.6446,0.6725,0.6437
4yr,0.6307,0.6202,0.6272,0.5679,0.6115
3yr,0.6202,0.6272,0.5470,0.5505,0.5862
2yr,0.6760,0.6655,0.6690,0.7073,0.6794
1yr,0.6620,0.6794,0.7456,0.6237,0.6777
avg,0.5617,0.5652,0.6049,0.5480,0.5699
