old+new_years,none,undersampling,oversampling,hybrid,avg
2+14,0.0893,0.0948,0.1031,0.0951,0.0956
4+12,0.1242,0.1075,0.1014,0.1181,0.1128
6+10,0.1211,0.1195,0.1109,0.1434,0.1237
8+8,0.1355,0.1489,0.1402,0.1703,0.1488
10+6,0.1330,0.1529,0.1147,0.1598,0.1401
12+4,0.1425,0.1604,0.1158,0.1422,0.1402
14+2,0.1632,0.1797,0.1425,0.1245,0.1525
avg,0.1298,0.1377,0.1184,0.1362,0.1305
