old+new_years,none,undersampling,oversampling,hybrid,avg
2+14,0.7179,0.6827,0.5847,0.6354,0.6552
4+12,0.7365,0.7275,0.6597,0.6925,0.7040
6+10,0.7667,0.7571,0.7017,0.7421,0.7419
8+8,0.7703,0.7818,0.7129,0.7715,0.7591
10+6,0.7871,0.7890,0.7082,0.7684,0.7632
12+4,0.7846,0.7686,0.6860,0.7485,0.7469
14+2,0.6834,0.7602,0.6892,0.7275,0.7151
avg,0.7495,0.7524,0.6775,0.7265,0.7265
