old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.2156,0.2023,0.1277,0.1687,0.1786
2+14,0.2388,0.2349,0.1111,0.1376,0.1806
3+13,0.2550,0.2287,0.1804,0.2103,0.2186
4+12,0.2098,0.2247,0.1709,0.2048,0.2025
5+11,0.2739,0.1927,0.1585,0.1902,0.2038
6+10,0.1750,0.2090,0.1495,0.1559,0.1723
7+9,0.2305,0.1811,0.1890,0.2045,0.2013
8+8,0.2769,0.2794,0.1579,0.1932,0.2268
9+7,0.2273,0.2631,0.2013,0.2017,0.2233
10+6,0.2388,0.2574,0.1799,0.1992,0.2188
11+5,0.1709,0.2820,0.2018,0.2279,0.2207
12+4,0.2909,0.1878,0.1664,0.1786,0.2059
13+3,0.2017,0.1792,0.1683,0.1635,0.1782
14+2,0.1302,0.1770,0.1262,0.1916,0.1563
15+1,0.1426,0.2514,0.0985,0.1328,0.1563
avg,0.2185,0.2234,0.1592,0.1840,0.1963
