new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.6792,0.6839,0.5931,0.6570,0.6533
14yr,0.6761,0.6802,0.6117,0.6648,0.6582
13yr,0.6865,0.6941,0.5765,0.6722,0.6573
12yr,0.6917,0.6973,0.6120,0.6519,0.6632
11yr,0.6525,0.6609,0.6141,0.6867,0.6535
10yr,0.6499,0.6346,0.6381,0.6617,0.6461
9yr,0.6697,0.6038,0.6396,0.6839,0.6492
8yr,0.6144,0.6166,0.6349,0.6550,0.6302
7yr,0.6444,0.5853,0.6260,0.6005,0.6141
6yr,0.5633,0.6292,0.5948,0.6281,0.6038
5yr,0.5965,0.5954,0.5844,0.5630,0.5848
4yr,0.5938,0.5987,0.5955,0.6378,0.6065
3yr,0.5993,0.5863,0.6420,0.6449,0.6182
2yr,0.5536,0.5605,0.5619,0.5314,0.5519
1yr,0.5663,0.5540,0.4971,0.5961,0.5534
avg,0.6291,0.6254,0.6015,0.6357,0.6229
